Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),Section 508 Labor Market Area if applicable,Special Exception Labor Market Area if applicable,Section 508 Provider,Section 505 wage adjustment_a,Section 505 wage adjustment_b,Section 505 eligible_a,Section 505 eligible_b,Section 401 hosptial,Post Reclass Wage Index_a,Post Reclass Wage Index_b,COLA,RESBED,SSA COUNTY CODE,HSP Rate,HSP_MDH,RDAY,BEDS,ADC,OPCCR,CPCCR,DSHPCT,POST RECLASS Labor Market Area_a,POST RECLASS Labor Market Area_b,Puerto Rico Specific Post Reclass wage index_a,Puerto Rico Specific Post Reclass wage index_b,PTYPE,LUGAR,RECLASS1,RECLASS2,BILLS,CASETA23,TACMIV23,CMIV23,CASETA24,TACMIV24,CMIV24,REGION,URGEO,URSPA,TCHOP,TCHCP,Post Reclass GAF_a,Post Reclass GAF_b,Puerto Rico Specific Post Reclass GAF_a,Puerto Rico Specific Post Reclass GAF_b,COLACP,DSHOPG,DSHCPG,OUT07F,COUT07F,MCR_PCT
010001,SOUTHEAST ALABAMA MEDICAL CENTER,20020,20020,20020,,,,. ,. ,,,,0.7664,0.7664,1,0,1340,. ,0,0,345,250,0.285,0.028,0.29807,20020,20020,0,0,0,,N,N,10147,10023.41,1.48365,1.49996,10032.73,1.48154,1.49724,5,OURBAN,OURBAN,0,0,0.83344,0.83344,0,0,1,0.13806,0.06222,0.01883,0.02343,0.56406
010005,MARSHALL MEDICAL CENTER SOUTH,01,26620,01,,,,. ,. ,,,,0.8889,0.8889,1,0,1470,. ,0,0,108,63,0.341,0.057,0.27486,13820,13820,0,0,7,,W,W,2693,2652.77,1.11931,1.1256,2654.81,1.13032,1.1359,5,RURAL,RURAL,0,0,0.92252,0.92252,0,0,1,0.11891,0,0.01054,0.03338,0.58536
010006,ELIZA COFFEE MEMORIAL HOSPITAL,22520,22520,22520,,,,. ,. ,,,,0.7876,0.7876,1,0,1380,. ,0,0,328,191,0.231,0.02,0.22968,22520,22520,0,0,0,,N,N,6978,6919.05,1.46227,1.46476,6924.35,1.46192,1.4641,5,OURBAN,OURBAN,0,0,0.84916,0.84916,0,0,1,0.08164,0.04761,0.058,0.05727,0.60998
010007,MIZELL MEMORIAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1190,. ,0,0,90,29,0.404,0.033,0.27141,01,01,0,0,0,,N,N,1457,1418.72,1.07881,1.08353,1420.24,1.09077,1.09618,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.11606,0,0.00115,0.0012,0.6342
010008,CRENSHAW COMMUNITY HOSPITAL,01,01,01,,,,. ,. ,,,,0.7933,0.7933,1,0,1200,. ,0,0,29,12,0.379,0.016,0.35402,33860,33860,0,0,0,,W,W,527,515.87,0.97934,0.98185,516.23,0.9912,0.99404,5,RURAL,RURAL,0,0,0.85336,0.85336,0,0,1,0.12,0,0.00304,0.0003,0.56495
010009,HARTSELLE MEDICAL CENTER,19460,19460,19460,,,,. ,. ,,,,0.8756,0.8756,1,0,1510,. ,0,0,130,16,0.179,0.017,0.2197,26620,26620,0,0,0,,W,W,1081,1058.64,0.94828,0.95334,1060.35,0.95536,0.96148,5,OURBAN,OURBAN,0,0,0.91304,0.91304,0,0,1,0.0734,0.04549,0.00222,0.00243,0.71899
010010,MARSHALL MEDICAL CENTER NORTH,01,26620,01,,,,0.0259,0.0259,YES,YES,,0.9226,0.9226,1,0,1470,. ,0,0,90,59,0.339,0.039,0.24714,26620,26620,0,0,0,,N,N,2126,2081.62,1.0447,1.04752,2083.66,1.05321,1.05605,5,RURAL,RURAL,0,0,0.92805,0.92805,0,0,1,0.09604,0,0.0412,0.05915,0.58284
010011,MEDICAL CENTER EAST,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.0585,1360,. ,0,0.0797,272,180,0.27,0.018,0.14386,13820,13820,0,0,0,,N,N,4855,4808.06,1.58696,1.59466,4811.01,1.59113,1.59735,5,LURBAN,LURBAN,0.03075,0.02275,0.92252,0.92252,0,0,1,0,0.02956,0.0285,0.01233,0.42179
010012,DEKALB REGIONAL MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.8822,0.8822,1,0,1240,4488.33,0,0,103,34,0.264,0.023,0.29364,16860,16860,0,0,16,,W,W,1495,1452.63,1.22842,1.23596,1453.21,1.23219,1.24053,5,RURAL,RURAL,0,0,0.91775,0.91775,0,0,1,0.12,0,0.04128,0.04102,0.46415
010015,SOUTHWEST ALABAMA MEDICAL CENTER,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1120,. ,0,0,27,12,0.497,0.039,0.38895,01,01,0,0,0,,N,N,586,571.34,1.0195,1.02167,572.09,1.02219,1.02425,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0,0,0.57682
010016,BAPTIST SHELBY,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0,1580,. ,0,0,174,123,0.187,0.018,0.2249,13820,13820,0,0,0,,N,N,4075,4014.11,1.51115,1.51698,4016.96,1.50665,1.51253,5,LURBAN,LURBAN,0,0,0.92252,0.92252,0,0,1,0.07769,0.0466,0.03432,0.03667,0.46771
010018,CALLAHAN EYE FOUNDATION HOSPITAL,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.4,1360,. ,0,1.5,20,3,0.415,0.048,0.17303,13820,13820,0,0,0,,N,N,158,156.6,1.51339,1.52041,156.57,1.42423,1.43195,5,LURBAN,LURBAN,0.19271,0.52699,0.92252,0.92252,0,0,1,0.03997,0,0,0,0.3546
010019,HELEN KELLER HOSPITAL,22520,22520,22520,,,,. ,. ,,,,0.7876,0.7876,1,0,1160,. ,0,0,185,79,0.383,0.034,0.27264,22520,22520,0,0,0,,N,N,3144,3090.04,1.22563,1.23128,3093.56,1.23106,1.23626,5,OURBAN,OURBAN,0,0,0.84916,0.84916,0,0,1,0.11708,0.05676,0.00521,0.00573,0.59624
010021,DALE MEDICAL CENTER,01,20020,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1220,. ,0,0,79,23,0.329,0.027,0.30333,20020,20020,0,0,0,,N,N,1175,1124.9,1.20845,1.22452,1126.08,1.20841,1.22862,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0.0165,0.01515,0.58946
010022,CHEROKEE MEDICAL CENTER,01,01,40660,,,,. ,. ,,,,0.9699,0.9699,1,0,1090,3845.11,3616.52,0,45,11,0.338,0.046,0.2241,40660,40660,0,0,14,LUGAR,W,W,755,728.85,0.96677,0.97849,730.68,0.96736,0.97458,5,RURAL,OURBAN,0,0,0.97929,0.97929,0,0,1,0.07703,0,0,0,0.71284
010023,BAPTIST MEDICAL CENTER SOUTH,33860,33860,33860,,,,. ,. ,,,,0.7933,0.7933,1,0.0918,1500,. ,0,0.1385,355,210,0.219,0.014,0.40614,33860,33860,0,0,0,,N,N,6353,6232.13,1.89859,1.91457,6244.28,1.87986,1.89462,5,OURBAN,OURBAN,0.0478,0.03986,0.85336,0.85336,0,0,1,0.22722,0.08572,0.03492,0.02115,0.3704
010024,JACKSON HOSPITAL & CLINIC INC,33860,33860,33860,,,,. ,. ,,,,0.7933,0.7933,1,0,1500,. ,0,0,255,148,0.297,0.045,0.31054,33860,33860,0,0,0,,N,N,5649,5549.61,1.64051,1.67493,5556.5,1.64361,1.67541,5,OURBAN,OURBAN,0,0,0.85336,0.85336,0,0,1,0.14835,0.0649,0.01684,0.05797,0.55578
010025,G H LANIER MEMORIAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.8371,0.8371,1,0,1080,. ,0,0,101,39,0.531,0.039,0.27438,17980,17980,0,0,7,,W,W,1891,1852.04,1.27778,1.28091,1854.09,1.2849,1.28769,5,RURAL,RURAL,0,0,0.88536,0.88536,0,0,1,0.11851,0,0.01655,0.01201,0.65203
010027,ELBA GENERAL HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1150,. ,0,0,20,8,0.558,0.018,0.38751,01,01,0,0,0,,N,N,584,573.86,0.76603,0.76979,575.13,0.76067,0.76399,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.12,0,0,0,0.54057
010029,EAST ALABAMA MEDICAL CENTER AND SNF,12220,12220,12220,,,,. ,. ,,,,0.8371,0.8371,1,0,1400,. ,0,0,247,183,0.416,0.044,0.28847,17980,17980,0,0,7,,W,W,6948,6886.8,1.57075,1.57654,6892.92,1.56039,1.56622,5,OURBAN,OURBAN,0,0,0.88536,0.88536,0,0,1,0.13014,0.06016,0.0223,0.03386,0.54912
010032,WEDOWEE HOSPITAL,01,01,01,,,,. ,. ,,,,0.7664,0.7664,1,0,1550,. ,0,0,34,4,0.548,0.012,0.1905,01,01,0,0,0,,N,N,448,434.85,0.88439,0.89055,435.47,0.89271,0.89837,5,RURAL,RURAL,0,0,0.83344,0.83344,0,0,1,0.05133,0,0,0,0.69169
010033,UNIVERSITY OF ALABAMA HOSPITAL,13820,13820,13820,,,,. ,. ,,,,0.8889,0.8889,1,0.2911,1360,. ,0,0.4027,847,597,0.29,0.015,0.33845,13820,13820,0,0,0,,N,N,11184,11033.54,2.07072,2.09292,11040.32,2.06534,2.08573,5,LURBAN,LURBAN,0.1439,0.12035,0.92252,0.92252,0,0,1,0.17137,0.07094,0.16846,0.05582,0.30069
010034,COMMUNITY HOSPITAL INC,33860,33860,33860,,,,. ,. ,,,,0.7933,0.7933,1,0,1250,. ,0,0,59,24,0.444,0.031,0.24752,33860,33860,0,0,0,,N,N,993,968.19,0.98981,0.99848,969.37,0.99104,1.00058,5,OURBAN,OURBAN,0,0,0.85336,0.85336,0,0,1,0.09635,0,0,0,0.617
