Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),Section 505 wage adjustment,Section 505 eligible,Section 401 hosptial,Post Reclass Wage Index,COLA,RESBED,SSA COUNTY CODE,HSP Rate,RDAY,BEDS,ADC,OPCCR,CPCCR,DSHPCT,POST RECLASS Labor Market Area,Puerto Rico Specific Post Reclass wage index,PROVIDER TYPE,LUGAR,RECLASS,BILLS,CASETA24,TACMIV24,CMIV24,CASETA25,TACMIV25,CMIV25,REGION,URGEO,URSPA,TCHOP,TCHCP,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,COLACP,DSHOPG,DSHCPG,OUT08F,COUT08F,MCR_PCT
010001,SOUTHEAST ALABAMA MEDICAL CENTER,20020,20020,20020,0,,,0.7567,1,0,1340,. ,0,345,250,0.273,0.027,0.28148,20020,0,0,,N,10121,9986.28,1.50275,1.51628,10009.39,1.47499,1.4874,5,OURBAN,OURBAN,0,0,0.8262,0,1,0.12437,0.05866,0.01027,0.01501,0.56406
010005,MARSHALL MEDICAL CENTER SOUTH,01,01,01,0,,,0.869,1,0,1470,. ,0,108,63,0.325,0.06,0.26283,26620,0,7,,W,2615,2570.32,1.13588,1.14277,2579.72,1.11294,1.11917,5,RURAL,RURAL,0,0,0.9083,0,1,0.10898,0,0.01049,0.04577,0.58536
010006,ELIZA COFFEE MEMORIAL HOSPITAL,22520,22520,22520,0,,,0.7693,1,0,1380,. ,0,328,191,0.229,0.018,0.2286,22520,0,0,,N,6854,6791.33,1.50123,1.50466,6805.41,1.48189,1.48514,5,OURBAN,OURBAN,0,0,0.8356,0,1,0.08075,0.04738,0.05875,0.05181,0.60998
010007,MIZELL MEMORIAL HOSPITAL,01,01,01,0,,,0.7567,1,0,1190,. ,0,90,29,0.478,0.047,0.24428,01,0,0,,N,1285,1256.07,1.02725,1.03282,1261.74,1.00166,1.0056,5,RURAL,RURAL,0,0,0.8262,0,1,0.09368,0,0.00326,0.0055,0.6342
010008,CRENSHAW COMMUNITY HOSPITAL,01,01,01,0.0174,YES,,0.7741,1,0,1200,. ,0,29,12,0.398,0.013,0.32987,01,0,0,,N,500,485.33,1.04782,1.05354,487.95,1.02125,1.02724,5,RURAL,RURAL,0,0,0.8392,0,1,0.12,0,0,0,0.56495
010009,HARTSELLE MEDICAL CENTER,19460,19460,19460,0,,,0.8725,1,0,1510,. ,0,130,16,0.174,0.016,0.25233,26620,0,0,,W,988,965.86,0.97336,0.97988,973.27,0.95233,0.95548,5,OURBAN,OURBAN,0,0,0.9108,0,1,0.10032,0.05242,0.00256,0.00338,0.71899
010010,MARSHALL MEDICAL CENTER NORTH,01,01,01,0,,,0.869,1,0,1470,. ,0,90,59,0.312,0.043,0.23879,13820,0,0,,W,1905,1868.14,1.10565,1.11128,1871.51,1.10129,1.10546,5,RURAL,RURAL,0,0,0.9083,0,1,0.08915,0,0.01222,0.02973,0.58284
010011,MEDICAL CENTER EAST,13820,13820,13820,0,,,0.8856,1,0.0481,1360,. ,0.0695,272,180,0.303,0.019,0.16508,13820,0,0,,N,4688,4643.52,1.65546,1.6649,4650.78,1.64075,1.64906,5,LURBAN,LURBAN,0.02593,0.01981,0.9202,0,1,0.0348,0.03399,0.03474,0.01895,0.42179
010012,DEKALB REGIONAL MEDICAL CENTER,01,01,01,0,,,0.9388,1,0,1240,4616.7,0,103,34,0.264,0.023,0.29145,40660,0,16,,W,1707,1657.51,1.22978,1.2391,1666.99,1.20254,1.20837,5,RURAL,RURAL,0,0,0.9577,0,1,0.12,0,0.00617,0.00684,0.46415
010015,SOUTHWEST ALABAMA MEDICAL CENTER,01,01,01,0.0046,YES,,0.7613,1,0,1120,. ,0,27,12,0.383,0.035,0.40774,01,0,0,,N,623,605.53,1.04218,1.04602,610.21,0.98762,0.9912,5,RURAL,RURAL,0,0,0.8296,0,1,0.12,0,0,0,0.57682
