Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),SSA COUNTY CODE,REGION,URGEO,URSPA,RECLASS,Post Reclass Labor Market Area,Post Reclass Wage Index,Puerto Rico Specific Post Reclass wage index,LUGAR,Section 401 hospital,Section 505 eligible,Section 505 wage adjustment,Cost of Living Adjustment,Resident to Bed Ratio,RDAY,BEDS,Average Daily Census,TCHOP,TCHCP,DSHPCT,DSHOPG,DSHCPG,Operating CCR,Capital CCR,Provider Type,HSP Rate,BILLS,CASETA25,TACMIV25,CMIV25,CASETA26,TACMIV26,CMIV26,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,Cost of Living Adjustment-Capital,OUT09F,COUT09F,MCR_PCT
010001,SOUTHEAST ALABAMA MEDICAL CENTER,20020,20020,20020,1340,5,OURBAN,OURBAN,W,10500,0.8401,0,,,.,,1,0,0,370,242,0,0,0.28515,0.1274,0.05944,0.273,0.028,7,.,10216,10090.59,1.51116,1.52811,10094.59,1.49473,1.51216,0.8875,0.0000,1,0.009,0.0163,0.5748
010005,MARSHALL MEDICAL CENTER SOUTH,1,1,1,1470,5,RURAL,RURAL,W,13820,0.8632,0,,,.,,1,0,0,108,63,0,0,0.26428,0.11018,0,0.317,0.058,7,.,2513,2477.45,1.0931,1.09687,2478.5,1.0727,1.07698,0.9042,0.0000,1,0.0045,0.0162,0.6099
010006,ELIZA COFFEE MEMORIAL HOSPITAL,22520,22520,22520,1380,5,OURBAN,OURBAN,N,22520,0.7878,0,,,.,,1,0,0,328,173,0,0,0.21694,0.07113,0.04491,0.222,0.018,0,.,6723,6680.73,1.46888,1.47285,6682.29,1.44837,1.45252,0.8493,0.0000,1,0.0566,0.0614,0.6283
010007,MIZELL MEMORIAL HOSPITAL,1,1,1,1190,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,86,25,0,0,0.25422,0.10188,0,0.467,0.058,0,.,1282,1253.45,1.05791,1.06452,1254.33,1.04609,1.05425,0.8300,0.0000,1,0.0088,0.0278,0.6343
010008,CRENSHAW COMMUNITY HOSPITAL,1,1,1,1200,5,RURAL,RURAL,N,1,0.7792,0,,,0.0174,YES,1,0,0,29,9,0,0,0.34941,0.12,0,0.372,0.021,0,.,454,441.24,1.01959,1.02763,441.41,1.0196,1.02978,0.8429,0.0000,1,0,0,0.6718
010009,HARTSELLE MEDICAL CENTER,19460,19460,19460,1510,5,OURBAN,OURBAN,W,26620,0.8679,0,,,.,,1,0,0,130,14,0,0,0.22534,0.07806,0.04669,0.177,0.014,0,.,900,888.64,0.96239,0.96613,889.03,0.93017,0.93438,0.9075,0.0000,1,0,0,0.7314
010010,MARSHALL MEDICAL CENTER NORTH,1,1,1,1470,5,RURAL,RURAL,W,13820,0.8632,0,,,.,,1,0,0,90,42,0,0,0.22347,0.07651,0,0.307,0.043,0,.,1877,1841.95,1.07158,1.07675,1842.87,1.05604,1.06225,0.9042,0.0000,1,0.0115,0.0269,0.6111
010011,ST VINCENT'S EAST,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.0508,0.0789,272,168,0.02737,0.01126,0.16887,0.03727,0.03479,0.3,0.022,0,.,4789,4754.52,1.65273,1.6612,4755.72,1.63823,1.64736,0.9129,0.0000,1,0.0409,0.0332,0.4138
010012,DEKALB REGIONAL MEDICAL CENTER,1,1,1,1240,5,RURAL,RURAL,W,40660,0.9489,0,,,.,,1,0,0,91,37,0,0,0.37169,0.12,0,0.232,0.02,16,4777.13,1945,1906.24,1.11989,1.12421,1907.33,1.07333,1.07876,0.9647,0.0000,1,0.0026,0.0041,0.4851
010015,SOUTHWEST ALABAMA MEDICAL CENTER,1,1,1,1120,5,RURAL,RURAL,N,1,0.7664,0,,,0.0046,YES,1,0,0,27,13,0,0,0.30626,0.12,0,0.495,0.037,0,.,575,552.51,0.98911,1.00007,552.97,0.95327,0.96649,0.8334,0.0000,1,0,0,0.5546
010016,SHELBY BAPTIST MEDICAL CENTER,13820,13820,13820,1580,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0,0,174,114,0,0,0.22313,0.07623,0.04622,0.19,0.019,0,.,3913,3869.77,1.56534,1.57538,3871.17,1.556,1.56693,0.9129,0.0000,1,0.0267,0.0445,0.4513
010018,CALLAHAN EYE FOUNDATION HOSPITAL,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.4195,1.5,20,2,0.20578,0.2635,0.13517,0,0,0.618,0.079,0,.,71,70.44,1.41215,1.42065,70.45,1.27013,1.27613,0.9129,0.0000,1,0,0,0.4237
010019,HELEN KELLER MEMORIAL HOSPITAL,22520,22520,22520,1160,5,OURBAN,OURBAN,N,22520,0.7878,0,,,.,,1,0,0,185,69,0,0,0.29403,0.13472,0.06135,0.367,0.038,0,.,3116,3077.88,1.24062,1.24411,3079.56,1.22567,1.22984,0.8493,0.0000,1,0.004,0.0084,0.5734
010021,DALE MEDICAL CENTER,1,1,1,1220,5,RURAL,RURAL,N,1,0.767,0,,,0.0052,YES,1,0,0,79,20,0,0,0.30066,0.12,0,0.387,0.03,0,.,1105,1063.61,1.19248,1.20864,1064.83,1.18298,1.20092,0.8339,0.0000,1,0.013,0.0149,0.6071
010022,CHEROKEE MEDICAL CENTER,1,1,40660,1090,5,RURAL,OURBAN,L,12060,0.9739,0,LUGAR,,.,,1,0,0,45,11,0,0,0.24186,0.09168,0,0.369,0.02,14,4092.54,786,766.57,0.97723,0.98188,767.12,0.95119,0.95718,0.9821,0.0000,1,0,0,0.6986
010023,BAPTIST MEDICAL CENTER SOUTH,33860,33860,33860,1500,5,OURBAN,OURBAN,N,33860,0.8302,0,,,.,,1,0.0924,0.1576,366,230,0.0492,0.02274,0.4375,0.25309,0.09264,0.206,0.015,0,.,5719,5642.85,1.74933,1.77178,5645.28,1.74214,1.76429,0.8804,0.0000,1,0.0279,0.027,0.3647
010024,JACKSON HOSPITAL & CLINIC INC,33860,33860,33860,1500,5,OURBAN,OURBAN,N,33860,0.8302,0,,,.,,1,0,0,255,168,0,0,0.26382,0.1098,0.05488,0.265,0.033,0,.,5684,5594.74,1.58234,1.59984,5597.39,1.573,1.59149,0.8804,0.0000,1,0.015,0.0378,0.4828
010025,G H LANIER MEMORIAL HOSPITAL,1,1,1,1080,5,RURAL,RURAL,W,17980,0.8464,0,,,.,,1,0,0,101,42,0,0,0.25659,0.10384,0,0.508,0.031,7,.,1765,1737.59,1.25504,1.25924,1738.17,1.22041,1.2259,0.8921,0.0000,1,0.0327,0.0177,0.5916
010027,ELBA GENERAL HOSPITAL,1,1,1,1150,5,RURAL,RURAL,N,1,0.7644,0,,,0.0026,YES,1,0,0,20,7,0,0,0.37799,0.12,0,0.502,0.037,0,.,582,571.34,0.73725,0.74021,571.69,0.704,0.70716,0.8320,0.0000,1,0,0,0.515
010029,EAST ALABAMA MEDICAL CENTER AND SNF,12220,12220,12220,1400,5,OURBAN,OURBAN,W,17980,0.8464,0,,,.,,1,0,0,248,187,0,0,0.27744,0.12104,0.05779,0.424,0.049,7,.,6295,6252.43,1.56902,1.57484,6253.6,1.53767,1.54435,0.8921,0.0000,1,0.0192,0.0444,0.5583
010032,WEDOWEE HOSPITAL,1,1,1,1550,5,RURAL,RURAL,N,1,0.7943,0,,,0.0325,YES,1,0,0,34,7,0,0,0.20086,0.05806,0,0.564,0.018,0,.,537,523.76,0.84827,0.85331,524.17,0.80877,0.81437,0.8541,0.0000,1,0.0006,0,0.762
010033,UNIVERSITY OF ALABAMA HOSPITAL,13820,13820,13820,1360,5,LURBAN,LURBAN,N,13820,0.8754,0,,,.,,1,0.2898,0.4416,946,647,0.14656,0.06636,0.3725,0.19946,0.07835,0.254,0.024,0,.,10520,10370.69,2.11285,2.12658,10375.51,2.10477,2.11862,0.9129,0.0000,1,0.1561,0.2406,0.28
010034,COMMUNITY HOSPITAL INC,33860,33860,33860,1250,5,OURBAN,OURBAN,N,33860,0.8302,0,,,.,,1,0,0,59,21,0,0,0.21195,0.06701,0,0.461,0.042,0,.,901,882.96,1.02006,1.02568,883.4,1.01128,1.0167,0.8804,0.0000,1,0.0016,0.0025,0.5907
010035,CULLMAN REGIONAL MEDICAL CENTER,1,1,1,1210,5,RURAL,RURAL,W,13820,0.8632,0,,,.,,1,0,0,115,74,0,0,0.24854,0.0972,0,0.284,0.044,7,.,3335,3288.46,1.23555,1.24216,3290.32,1.22728,1.23461,0.9042,0.0000,1,0.0285,0.0805,0.6211
010036,ANDALUSIA REGIONAL HOSPITAL,1,1,1,1190,5,RURAL,RURAL,N,1,0.7618,0,,,.,,1,0,0,88,40,0,0,0.34636,0.12,0,0.236,0.018,0,.,2091,2053.67,1.13243,1.13965,2054.89,1.11146,1.11974,0.8300,0.0000,1,0.001,0.0012,0.6157
010038,STRINGFELLOW MEMORIAL HOSPITAL,11500,11500,11500,1070,5,OURBAN,OURBAN,N,11500,0.8025,0,,,0.0047,YES,1,0,0,125,49,0,0,0.17803,0.04322,0.03671,0.169,0.014,0,.,2353,2321.09,1.31394,1.32341,2322.15,1.29589,1.30714,0.8601,0.0000,1,0.0167,0.0178,0.5668
010039,HUNTSVILLE HOSPITAL,26620,26620,26620,1440,5,OURBAN,OURBAN,N,26620,0.8953,0,,,.,,1,0.0405,0.0592,786,607,0.02188,0.00842,0.22732,0.07969,0.04711,0.216,0.016,0,.,16389,16256.32,1.63683,1.64284,16260.75,1.64105,1.64766,0.9271,0.0000,1,0.05,0.0429,0.4366
010040,GADSDEN REGIONAL MEDICAL CENTER,23460,23460,23460,1270,5,OURBAN,OURBAN,N,23460,0.8022,0,,,0.0061,YES,1,0,0,235,179,0,0,0.26559,0.11126,0.05525,0.121,0.008,0,.,5196,5158.63,1.63581,1.64625,5159.87,1.63297,1.64306,0.8599,0.0000,1,0.0269,0.0192,0.5996
