Provider Number,Name,Geographic Labor Market Area,Pre Reclass Labor Market Area  ,Payment Labor Market Area (for purposes of Capital and DSH),SSA COUNTY CODE,REGION,URGEO,URSPA,RECLASS,Post Reclass Labor Market Area,Post Reclass Wage Index,Puerto Rico Specific Post Reclass wage index,LUGAR,Section 401 hospital,Section 505 eligible,Section 505 wage adjustment,Cost of Living Adjustment,Resident to Bed Ratio,RDAY,BEDS,Average Daily Census,TCHOP,TCHCP,DSHPCT,DSHOPG,DSHCPG,Operating CCR,Capital CCR,Provider Type,FY10 HSP Rate,FY09 HSP Rate,BILLSV27,TACMIV27,CASETA27,CMIV27,IME_CASETA27,IME_TACMIV27,TACMIV26,CASETA26,CMIV26,IME_CASETA26,IME_TACMIV26,Post Reclass GAF,Puerto Rico Specific Post Reclass GAF,Cost of Living Adjustment-Capital,OUT10F,COUT10F,MCR_PCT,,,,,,,,,,,,,,,,,,,,,,,,,
010001,SOUTHEAST ALABAMA MEDICAL CENTER,20020,20020,20020,01340,5,OURBAN,OURBAN,W,10500,0.8387,0,,,,,1,0,0,370,246,0,0,0.27773,0.12127725,0.057851881,0.257,0.021,0,,,9315,1.595442991,9200.14945,1.6119657,468.4766,1.519493213,1.593301663,9185.9247,1.610733537,467.71945,1.518819501,0.8865,0.0000,1,0.008330459,0.009578688,0.556956586,,,,,,,,,,,,,,,,,,,,,,,,,
010005,MARSHALL MEDICAL CENTER SOUTH,   01,   01,   01,01470,5,RURAL,RURAL,W,26620,0.8558,0,,,,,1,0,0,108,58,0,0,0.2793,0.1225725,0,0.287,0.056,7,,,2787,1.145624298,2742.40385,1.150979153,9.7547,1.092215164,1.150138265,2736.9082,1.155942734,9.7273,1.096703967,0.8989,0.0000,1,0.000937824,0.006646796,0.592766475,,,,,,,,,,,,,,,,,,,,,,,,,
010006,ELIZA COFFEE MEMORIAL HOSPITAL,22520,22520,22520,01380,5,OURBAN,OURBAN,N,22520,0.7932,0,,,,,1,0,0,328,173,0,0,0.21975,0.07344375,0.045504323,0.207,0.015,0,,,6351,1.492384951,6307.40935,1.498907778,146.4444,1.35163765,1.490777309,6301.98295,1.497663911,146.4348,1.362761308,0.8533,0.0000,1,0.054737066,0.047077395,0.616655348,,,,,,,,,,,,,,,,,,,,,,,,,
010007,MIZELL MEMORIAL HOSPITAL,   01,   01,   01,01190,5,RURAL,RURAL,N,   01,0.7389,0,,,,,1,0,0,90,25,0,0,0.2738,0.118035,0,0.423,0.045,14,3954.509168,3959.78444,1197,1.003436134,1177.252,1.00961345,2,0.94985,1.004830911,1174.782,1.011373099,2,0.98665,0.8128,0.0000,1,0.005625028,0.012633639,0.632741447,,,,,,,,,,,,,,,,,,,,,,,,,
010008,CRENSHAW COMMUNITY HOSPITAL,   01,   01,   01,01200,5,RURAL,RURAL,N,   01,0.7563,0,,,YES,0.0174,1,0,0,29,10,0,0,0.38413,0.12,0,0.34,0.021,0,,,484,1.060037756,475.44455,1.063366529,1,0.6472,1.068620533,474.40735,1.07194938,1,0.6548,0.8259,0.0000,1,0,0,0.558814726,,,,,,,,,,,,,,,,,,,,,,,,,
010009,HARTSELLE MEDICAL CENTER,19460,19460,19460,01510,5,OURBAN,OURBAN,W,26620,0.8558,0,,,,,1,0,0,130,13,0,0,0.22012,0.073749,0.045582661,0.17,0.014,0,,,867,0.956450185,855.67795,0.961152364,,,0.960626567,853.65735,0.965756632,,,0.8989,0.0000,1,0.001693789,0.001846927,0.746601942,,,,,,,,,,,,,,,,,,,,,,,,,
010010,MARSHALL MEDICAL CENTER NORTH,   01,   01,   01,01470,5,RURAL,RURAL,W,13820,0.8512,0,,,,,1,0,0,90,39,0,0,0.21625,0.07055625,0,0.334,0.049,0,,,2018,1.161412624,1972.08465,1.167585382,6.6452,0.914183176,1.161753014,1968.3652,1.168330922,6.6452,0.922175278,0.8955,0.0000,1,0.009121305,0.029258623,0.618730179,,,,,,,,,,,,,,,,,,,,,,,,,
010011,ST VINCENT'S EAST,13820,13820,13820,01360,5,LURBAN,LURBAN,N,13820,0.8512,0,,,,,1,0.0508,0.0819,272,193,0.027366115,0.023381336,0.1665,0.035725,0.034291085,0.292,0.018,0,,,4625,1.612884427,4594.4139,1.623294551,,,1.609044759,4591.3732,1.620177124,,,0.8955,0.0000,1,0.046151742,0.026533814,0.400181384,,,,,,,,,,,,,,,,,,,,,,,,,
010012,DEKALB REGIONAL MEDICAL CENTER,   01,   01,   01,01240,5,RURAL,RURAL,W,40660,0.8665,0,,,,,1,0,0,91,34,0,0,0.39679,0.12,0,0.224,0.013,16,4855.464682,4861.941818,2020,1.140904221,1978.27015,1.146872723,,,1.14412546,1973.34405,1.150410198,,,0.9065,0.0000,1,0.012984105,0.006080697,0.483132709,,,,,,,,,,,,,,,,,,,,,,,,,
010015,SOUTHWEST ALABAMA MEDICAL CENTER,   01,   01,   01,01120,5,RURAL,RURAL,N,   01,0.7435,0,,,YES,0.0046,1,0,0,27,11,0,0,0.33675,0.12,0,0.47,0.066,0,,,637,0.955507926,615.1035,0.966397959,,,0.960471103,613.0187,0.972156201,,,0.8163,0.0000,1,0,0,0.542881832,,,,,,,,,,,,,,,,,,,,,,,,,
