Provider Number	Name	Geographic Labor Market Area	Pre Reclass Labor Market Area  	Payment Labor Market Area (for purposes of Capital and DSH)	SSA COUNTY CODE	REGION	URGEO	URSPA	RECLASS	POST RECLASS Labor Market Area	FY 2011 Wage Index	 FY 2011 Puerto Rico Specific wage index	LUGAR	Section 401 hospital	Section 505 eligible	Section 505 wage adjustment	Cost of Living Adjustment	Resident to Bed Ratio	RDAY	BEDS	Average Daily Census	TCHOP	TCHCP	DSHPCT	DSHOPG	DSHCPG	Operating CCR	Capital CCR	Provider Type	FY11 HSP Rate	BILLS	TACMIV27	CMIV27	CASETA27	IME_TACMIV27	IME_CASETA27	TACMIV28	CMIV28	CASETA28	IME_TACMIV28	IME_CASETA28	FY 2011 GAF	FY 2011 Puerto Rico Specific GAF	Cost of Living Adjustment-Capital	OUT11F	COUT11F	MCR_PCT
010001	SOUTHEAST ALABAMA MEDICAL CENTER	20020	20020	20020	1340	5	OURBAN	OURBAN	W	10500	0.8357	0				.	1	0	0	370	235	0	0	0.28214	0.12492	0.0588	0.241	0.022	0	.	8178	1.67714	1.69705	8058.76	.	.	1.67313	1.69032	8079.72	.	.	0.8843	0	1	0.0133	0.0178	0.54964
010005	MARSHALL MEDICAL CENTER - SOUTH	1	1	1	1470	5	RURAL	RURAL	W	26620	0.862	0				.	1	0	0	108	63	0	0	0.31675	0.15347	0	0.3	0.055	7	.	2232	1.27988	1.29112	2179.82	.	.	1.25917	1.26798	2187.71	.	.	0.9033	0	1	0.001	0.0047	0.58135
010006	ELIZA COFFEE MEMORIAL HOSPITAL	22520	22520	22520	1380	5	OURBAN	OURBAN	N	22520	0.8112	0				.	1	0	0	369	158	0	0	0.23332	0.08464	0.04838	0.205	0.015	0	.	5477	1.48273	1.48773	5427.54	.	.	1.48986	1.49399	5435.87	.	.	0.8665	0	1	0.04	0.0358	0.58898
010007	MIZELL MEMORIAL HOSPITAL	1	1	1	1190	5	RURAL	RURAL	N	1	0.7436	0				.	1	0	0	90	22	0	0	0.22203	0.07532	0	0.362	0.037	14	3852.14	1265	1.03342	1.04359	1241.95	.	.	1.04661	1.05654	1243.73	.	.	0.8164	0	1	0.0002	0.0016	0.62849
010008	CRENSHAW COMMUNITY HOSPITAL	1	1	1	1200	5	RURAL	RURAL	N	1	0.7801	0			YES	0.0365	1	0	0	29	11	0	0	0.39057	0.21437	0	0.35	0.007	14	4344.76	376	1.09956	1.10935	365.48	.	.	1.11182	1.12119	366.03	.	.	0.8436	0	1	0	0	0.58317
010009	HARTSELLE MEDICAL CENTER	19460	19460	19460	1510	5	OURBAN	OURBAN	W	26620	0.862	0				.	1	0	0	130	12	0	0	0.2062	0.06226	0.04264	0.162	0.011	0	.	792	0.9928	0.99761	774.52	.	.	1.01004	1.01436	775.7	.	.	0.9033	0	1	0.0281	0.0222	0.71783
010010	MARSHALL MEDICAL CENTER - NORTH	1	1	1	1470	5	RURAL	RURAL	N	1	0.7762	0			YES	0.0326	1	0	0	90	48	0	0	0.26174	0.10809	0	0.337	0.05	0	.	1992	1.22491	1.23151	1947.63	.	.	1.20877	1.21444	1954.09	.	.	0.8407	0	1	0.0023	0.0085	0.62904
010011	ST. VINCENT S EAST	13820	13820	13820	1360	5	LURBAN	LURBAN	N	13820	0.8587	0				.	1	0.0513	0.0699	272	196	0.02763	0.01992	0.19288	0.05287	0.03983	0.278	0.012	0	.	4522	1.58767	1.59418	4486.21	1.62028	2998.74	1.59769	1.60364	4490.63	1.63135	3000.56	0.9009	0	1	0.0248	0.0053	0.37426
010012	DEKALB REGIONAL MEDICAL CENTER	1	1	1	1240	5	RURAL	RURAL	N	1	0.7613	0			YES	0.0177	1	0	0	103	32	0	0	0.31748	0.12	0	0.227	0.015	16	4813.64	1795	1.16399	1.169	1760.67	.	.	1.17959	1.18453	1763.73	.	.	0.8296	0	1	0.0236	0.0186	0.59324
010015	SOUTHWEST ALABAMA MEDICAL CENTER	1	1	1	1120	5	RURAL	RURAL	N	1	0.7491	0			YES	0.0055	1	0	0	27	11	0	0	0.36876	0.12	0	0.47	0.066	0	.	537	0.88964	0.897	523.41	.	.	0.9036	0.91107	524.13	.	.	0.8205	0	1	0	0	0.52412
