FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_ MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_ MCAL_ MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_ IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_ OP_ OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CURR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER_REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2009,6/30/2010,365,Audited,Incl. Ind. Audit Adj.,Orange,13,1012,Investor,General,Comparable,,(717) 774-1450,111 WEST LA PALMA AVENUE,ANAHEIM,92801,PHIL COHENS,CEO,,AHMC HEALTHCARE INC,LINDA MARSH,MONTEREY PARK HOSPITAL,0,05-0226,HSC30226F,ZZT30226F,223,223,154,"15,067","12,476","3,203","7,092","2,572",989,"10,521",390,"1,309","53,619","3,013","3,155",740,"1,742",571,176,"3,135",88,376,"12,996",223,0,0,0,0,0,"53,619",0,0,0,0,0,"12,996",0,0,0,0,0,65.90,65.90,4.10,4.10,10,"2,905","1,567","19,597","18,268","3,674","14,130","6,618","1,875","21,924",623,"9,966","96,675","65,732",0,0,"35,589","1,854",3,"287,666","187,314","2,830","2,943","1,214",432,"993,124,376","820,551,222","10,809,960","183,383,114","422,014","182,185,940","1,619,188","2,076",0,0,0,"1,621,264","169,069,261","74,094,111","749,961,004","183,159,211","173,363,085","31,731,561","79,208,071","28,770,229","14,594,097","139,155,056","7,055,231","8,272,029","665,308,570","65,797,192","63,377,397","11,188,731","44,960,968","21,528,025","7,133,561","94,494,101","1,336,608","17,999,223","327,815,806","205,672,036","205,669,372","36,319,507","111,505,199",0,"47,730,817","17,797,550","163,959,924","14,632,475",0,"8,758,439",0,"8,505,903","10,809,960",0,0,0,"42,680,425","41,881,070","6,600,785","12,663,840","2,567,437","3,930,108","69,689,233",0,"3,370,216",0,0,0,0,0,0,"41,135,647","10,314,479","66,498,949","3,961,168","2,356,455",0,0,"23,370,517","6,950,041","18,149,750","9,448,934","65,816,938","22,589,455","2,026,328","162,304","34,290,945","34,703,084","2,873,291","8,573,543","818,081","1,355,177","8,976,794","35,264,413",0,"7,497,667","47,582",0,0,"42,809,662","32,688,398",0,0,"10,121,264","42,809,662","580,246","225,836,591","(195,034,025)",0,"8,757,216","8,757,216","1,259,549",0,0,0,0,0,"136,092","1,204,803","1,021",338,"1,931,904","200,492","2,132,396",211,0,"114,070","361,195","557,428","5,846","139,112","425,881","13,770","305,388",0,"9,214","646,955","92,102","674,337",0,"210,130","115,887","192,493",0,"730,332","101,935","734,182",0,"225,559","127,695","212,693",0
106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2009,6/30/2010,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,City/County,General,Comparable,Teaching,(510) 437-4800,1411 EAST 31ST STREET,OAKLAND,94602,"WRIGHT LASSITER, III",CEO,WWW.ACMEDCTR.ORG,COUNTY OF ALAMEDA,JUDY BAIN,"TOYON ASSOCIATES, INC.",2,05-0320,HSC00320W,ZZR00320W,475,475,323,"18,896",485,"63,518","6,105","10,562","2,571",0,"5,814","6,369","114,320","2,241",98,"5,752","1,276","2,113",418,0,881,"1,037","13,816",236,80,0,50,109,0,"41,000","23,562",0,"11,244","38,514",0,"9,811","3,347",0,486,172,0,65.90,65.90,8.30,5.60,20,"2,111",965,"46,443","1,958","130,582","36,048","123,488","13,945",0,"6,094","49,819","408,377","86,544","168,840",0,"168,840",0,7,"242,672","187,664","2,225","2,157",968,325,"924,770,364","479,456,209",0,"445,314,155","80,934,242","464,110,177","62,138,220","5,921,464","109,064",0,0,"67,950,620","366,002,930","160,368,314","398,399,120","96,730,612","4,689,945","275,255,801","43,432,070","101,794,632","26,470,724",0,"32,501,516","38,126,444","619,001,744","34,239,209","1,528,130","89,347,092","23,295,269","98,760,101","11,631,324",0,"4,867,019","42,100,476","305,768,620","70,055,687","3,827,645","272,715,491","46,736,187","(137,733,673)","106,259,423","11,688,837",0,"68,538,081",0,"37,368,531",0,0,0,0,0,0,"60,914,134","2,390,430","229,621,075","19,991,152","94,295,310","26,413,211",0,4,"11,688,839","44,402,760","5,404,815",0,"195,038",0,"5,661,384","108,388,535","62,643,176","86,496,890","4,697,406",0,0,"31,022,336","77,701,937","18,932,565","68,104,125","6,123,207","184,991,830","113,683,468","48,055,425","21,265,792","38,669,484","33,443,518","9,888,288","2,444,777","568,712","1,074,645","10,024,238","175,328,376",0,"35,231,335","1,825,186",0,0,"212,384,897","302,826,802",0,"5,666,976","(96,108,881)","212,384,897","30,329,275","252,731,438","(209,960,765)","38,626,547","69,463,709","112,664,070","77,432,735","6,480,676",0,0,"6,480,676","813,700","16,859,332","154,699,331","2,450",844,"4,718,128","770,481","5,488,609",513,102,"363,748","1,031,685","957,876","133,368","327,933","727,072","370,419","413,308","337,194","55,525","1,272,488","986,632","604,942","277,804","775,398","313,793","487,071",0,"1,475,563","1,163,547","712,446","299,711","904,344","366,306","566,692",0
106010735,ALAMEDA HOSPITAL,7/1/2009,6/30/2010,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,District,General,Comparable,,(510) 522-3700,2070 CLINTON AVENUE,ALAMEDA,94501-4397,DEBORAH E. STEBBINS,CEO,WWW.ALAMEDAHOSPITAL.ORG,CITY OF ALAMEDA HEALTHCARE DISTRICT,CARLOS JIMENEZ,PACIFIC HOSPITAL MANAGEMENT,0,05-0211,HSC00211F,ZZR00211F,161,126,100,"12,200","1,134","12,853",784,0,242,"2,197",67,"1,130","30,607","1,619",224,307,101,0,55,393,16,228,"2,943",100,0,0,0,61,0,"10,579",0,0,0,"20,028",0,"2,802",0,0,0,141,0,52.10,66.60,10.40,3.80,0,0,0,"12,140","1,780","2,153","3,461",0,"8,611","20,140",381,"2,733","51,399","17,624","5,466",0,"29,082",0,3,"79,026","258,045",683,"4,102",0,0,"278,877,641","211,101,795",0,"67,775,846","161,816","72,161,566","(4,223,904)","6,240,443",0,0,0,"2,016,539","80,885,226","35,228,913","162,763,502","72,460,492","10,643,577","36,629,015","5,390,770",0,"4,786,652","26,407,050","680,974","4,897,292","161,895,822","26,942,632","3,764,250","4,875,533","7,122,659",0,"6,978,147","61,217,260","742,392","5,338,946","116,981,819","74,813,077","10,846,446","30,813,654","9,040,432","(2,290,582)",0,"9,143,138","68,098,170","6,385,945",0,"1,423,366",0,"2,828,149",0,0,0,0,"24,590,047","3,561,381","12,981,476","3,472,997",0,"2,621,661","19,526,140",0,"1,022,144",0,0,0,"27,709","5,762,661",0,"18,825,255","5,290,000","23,808,159",0,0,0,0,"10,604,128","3,347,802","9,211,752","1,074,470","37,494,788","10,115,284","2,376,873","3,099,897","9,185,714","4,638,991","1,155,021","775,099","360,539","97,190","2,862,170","21,931,285","476,630","6,487,220","827,650",0,0,"29,722,785","17,796,961",0,"1,236,831","10,688,993","29,722,785","3,725,769","43,504,333","(33,946,186)","23,980,336","19,064,608","44,421,898","37,934,678",0,"1,687,662",0,"1,687,662","450,831",0,0,451,161,"804,884","165,873","970,757",267,0,"65,378","182,149","182,755","22,696","100,801","130,658","80,320","7,748","27,750","4,629","274,567","52,880","190,159",0,"147,835","57,712","81,731",0,"323,964","61,561","242,302",0,"173,000","67,170","102,760",0
106190017,ALHAMBRA HOSPITAL,7/1/2009,6/30/2010,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,913,Investor,General,Comparable,,(626) 570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91801,IRIS LAI,CEO,WWW.ALHAMBRAHOSPITAL.COM,ALHAMBRA HOSPITAL MEDICAL CENTER LP,LINDA MARSH,AHMC INC.,0,05-0281,HSC30281F,,144,144,144,"16,214","1,700","6,398","4,731",0,89,"1,817",412,276,"31,637","1,840",551,343,551,0,9,509,46,115,"3,964",101,0,0,17,26,0,"20,964",0,0,"3,759","6,914",0,"3,716",0,0,222,26,0,60.20,60.20,8.00,6.30,0,0,0,"5,073","1,360","2,041","2,590",0,660,"2,967",358,"1,839","16,888","15,050",0,0,"4,190",835,5,"59,851","90,124",727,"1,021",0,0,"302,287,301","243,805,718","6,210,435","64,692,018","936,631","63,184,670","2,443,979","44,477",0,0,0,"2,488,456","79,937,724","14,259,622","208,089,955","126,868,572","17,538,609","38,783,665","30,905,573",0,"659,684","15,949,600","2,533,416","1,941,707","235,180,826","29,774,785","5,809,993","6,694,402","6,824,244",0,"2,077,726","10,459,385","1,119,063","4,346,877","67,106,475","115,068,869","19,816,073","38,727,180","34,971,481",0,0,"2,083,874","18,430,657","5,889,126",0,"3,294,831",0,"5,523,627","5,810,041","400,394",0,0,"38,264,969","9,068,757","4,392,187","2,997,339",0,"621,434","7,668,626","357,648","1,321,058",0,"5,362,706",0,"44,477",0,0,"17,105,312","2,623,082","18,372,767","967,393","1,934,784",0,0,"8,450,043","2,629,828","7,370,690","3,730,771","24,988,618","8,273,666","862,100","4,141,599","8,327,185","10,475,341",0,"3,907,308","358,553",0,"1,850,300","21,711,840",0,0,0,"20,382,392","725,032","42,819,264","16,964,132",0,0,"25,855,132","42,819,264","7,630,664","60,064,492","(51,365,162)",0,0,0,0,0,0,0,0,0,0,0,456,203,"884,958","85,241","970,199",194,0,"56,239","173,358","232,782","60,632","106,812","197,756","36,286",0,"21,093",0,"395,252","35,116","162,353",0,"124,697","76,938","90,602",0,"431,772","36,826","177,642",0,"135,994","83,676","104,289",0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2010,12/31/2010,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,415,Non-Profit,General,Comparable,,(510) 204-4444,2450 ASHBY AVENUE,BERKELEY,94705,DAVID BRADLEY,PRESIDENT/CEO,WWW.ALTABATESSUMMIT.ORG/,SUTTER HEALTH,TERRYLEE NEAL,SUTTER HEALTH,0,05-0305,HSC00305F,ZZR00305F,527,510,510,"34,941","7,987","36,836","10,430",0,532,"38,098",776,"3,006","132,606","4,912","1,281","4,204","2,002",0,45,"6,708",155,"1,048","20,355",347,105,0,42,33,0,"91,896","19,793",0,"12,757","8,160",0,"16,819","2,763",0,757,16,0,68.90,71.20,6.50,6.10,35,"10,529","2,645","75,272","14,990","16,794","10,906",0,"7,519","212,255","1,679","11,639","351,054","42,917","36,338",0,"115,009",0,13,"589,665","310,695","5,520","4,016","5,538","2,087","2,246,542,774","1,603,137,661",0,"643,405,113","6,226,957","550,311,992","99,320,078","15,691,985","6,666,938",0,0,"108,345,125","807,754,077","134,113,156","1,304,675,541","420,472,989","118,197,241","455,928,911","143,581,209",0,"7,528,923","474,082,088","14,054,145","44,539,670","1,678,385,176","156,973,157","44,684,823","48,166,305","29,863,234",0,"6,511,274","247,721,766","5,776,916","28,460,123","568,157,598","458,746,911","129,699,847","364,986,191","144,137,686",0,0,"9,147,357","386,109,421","16,270,194",0,"62,067,307",0,"31,972,747",0,0,0,0,"118,699,235","33,182,217","126,172,530","21,985,950",0,"4,892,840","335,694,433",0,"2,777,908",0,0,"1,744,765","10,410,571",0,0,"137,407,173","22,368,148","180,272,018",0,0,"157,168",0,"75,504,506","4,255,389","107,325,303","23,022,287","191,317,877","113,982,996","18,550,325","12,180,278","64,018,231","74,607,512","18,564,389","1,714,721","6,282,772","4,768,070","44,324,821","181,101,032",0,"114,673,036","79,019,260","23,432,749","1,584,966","399,811,043","83,814,908","5,606,093","72,607,963","237,782,079","399,811,043","31,775,182","377,041,692","(286,544,362)","248,196,375","166,669,455","428,190,038","313,517,002",0,0,"101,565,963","101,565,963","28,958,000","27,086,167",0,"2,176",855,"4,057,738","620,805","4,678,543",665,0,"211,076","859,482","1,375,268","105,179","206,562","553,681","377,447","216,845","90,407","61,791","1,493,418","252,388","1,079,996","1,999","635,264","77,076","517,517",80,"1,761,634","287,159","1,250,572","2,259","729,650","88,636","558,553",80
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/2010,12/31/2010,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,Non-Profit,General,Comparable,,(510) 655-4000,HAWTHORNE AVE & WEBSTER ST,OAKLAND,94609,DAVID BRADLEY,CEO,WWW.ALTABATESSUMMIT.ORG,SUTTER HEALTH,TERRYLEE NEAL,SUTTER HEALTH,0,05-0043,HSC00043G,ZZR00043G,399,399,399,"34,350","9,220","12,078","2,426",0,578,"12,727","2,655",485,"74,519","6,422","1,777","2,460",533,0,116,"2,507",547,105,"14,467",351,0,0,0,48,0,"65,592",0,0,0,"8,927",0,"13,593",0,0,0,874,0,51.20,51.20,5.20,4.80,0,0,0,"40,371","10,669","17,842","13,345",0,"1,828","43,480","2,927","11,885","142,347","40,758","9,106",0,"97,787",0,38,"654,825","335,730","2,217","1,828",0,0,"1,904,639,634","1,472,228,250",0,"432,411,384","56,957,985","469,911,493","19,457,876","8,038,094","4,722,206",0,0,"22,773,764","473,212,646","139,090,450","1,292,336,538","568,456,541","153,356,102","195,664,224","46,145,591",0,"13,288,492","331,416,297","39,004,242","18,236,566","1,365,568,055","165,146,861","45,026,858","56,002,284","43,539,731",0,"6,510,596","181,299,259","7,474,220","34,071,770","539,071,579","607,330,500","164,516,710","203,503,826","79,410,608",0,0,"14,463,055","307,287,283","6,894,666",0,"46,478,463",0,"42,343,139",0,0,0,0,"126,272,902","33,866,250","48,162,682","10,274,714",0,"5,336,033","205,428,273",(1),"3,070,531",0,"(12,168,358)","1,970,283","1,410,608",0,0,"94,451,674","23,413,686","144,460,131",0,0,0,"45,078,462","59,466,458","8,775,324","75,186,395","19,079,363","157,545,118","86,458,906","10,349,300","14,123,569","75,300,649","52,185,655","19,718,924","3,387,838","3,684,331","4,079,517","43,077,686","156,821,327",0,"152,065,912","2,689,603","12,476,401",0,"324,053,243","94,846,390",0,"67,940,389","161,266,464","324,053,243","54,655,054","319,251,701","(250,766,095)","374,316,099","129,683,708","525,829,515","373,763,603",0,0,"70,038,580","70,038,580","2,098,191",0,"7,490,094","1,892",635,"3,565,109","552,960","4,118,069",514,0,"237,036","707,377","918,999","26,723","228,566","691,963","392,247","179,184","145,823","37,191","1,019,688","236,988","749,360","480,034","643,368","152,539","244,562","38,570","1,207,560","266,155","887,014","517,335","739,736","174,809","282,787","42,673"
106370652,ALVARADO HOSPITAL,1/1/2010,12/31/2010,365,Audited,Incl. Ind. Audit Adj.,San Diego,14,1418,Investor,General,Comparable,,(619) 287-3270,6655 ALVARADO ROAD,SAN DIEGO,92120,HARRIS F. KOENIG,CEO,WWW.ALVARADOHOSPITAL.COM,"PRIME HEALTHCARE SERVICES, INC.",JEFFREY N. BROWN,HOSPITAL MANAGEMENT SERVICES,0,05-0757,HSC30583I,HSP30583I,306,264,114,"16,546","2,444","6,132",714,"1,147","1,399","11,818",37,"1,386","41,623","3,778",688,"1,232",251,276,156,"2,590",4,474,"9,449",256,0,0,50,0,0,"36,881",0,0,"4,742",0,0,"9,079",0,0,370,0,0,37.30,43.20,4.40,4.40,0,0,0,"14,046","1,271","4,030","3,190","1,080","1,669","10,955",1,"7,415","43,657","26,913","1,921",0,"17,898",0,8,"742,774","306,629","2,540","1,618",0,0,"724,785,383","567,609,339","372,107","157,548,151","2,453,865","170,440,419","(10,438,403)","13,297,630","2,853,011",0,0,"6,216","106,851,846","48,357,377","569,576,160","257,314,532","50,879,914","77,748,405","9,605,469","12,966,749","6,416,251","143,279,191","234,814","14,093,995","572,539,320","53,919,891","12,015,567","11,517,616","8,273,970","3,413,727","2,533,243","44,335,786","87,307","16,148,956","152,246,063","254,326,000","49,411,029","76,343,493","16,191,417",0,"13,970,931","4,064,334","123,623,982","19,558,201",0,"322,121",0,"9,797,831","348,401",0,0,"23,706","56,908,423","13,832,853","12,922,528","1,688,022","2,409,545","4,885,160","64,014,701",0,"886,919",0,0,0,0,0,0,"30,965,034","8,740,205","60,249,754",0,0,0,0,"19,625,751","4,729,797","30,420,085","15,709,793","61,884,139","19,383,846","391,406","5,067,399","40,397,628","10,749,343","1,569,839","15,809,211","1,711,294",0,"13,476,314","24,167,406",0,"1,016,411","1,451,088",0,"245,719","26,880,624","11,480,159","347,783","15,046,466","6,216","26,880,624","3,472,605","8,816,094","(7,840,359)",0,"955,649","1,016,411",0,0,0,0,"15,046,466",0,0,"13,865,324",785,321,"1,472,724","210,559","1,683,283",315,0,"90,431","516,533","532,156","5,354","83,446","192,007",0,"2,548","47,264","2,985","485,497","122,984","440,792",0,"161,112","95,786","166,553",0,"572,399","137,622","500,134",0,"175,724","106,626","190,778",0
106370749,ALVARADO PARKWAY INSTITUTE BHS,1/1/2010,12/31/2010,365,Audited,Excl. Ind. Audit Adj.,San Diego,14,1422,Investor,Psychiatric,Comparable,,(619) 465-4411,7050 PARKWAY DRIVE,LA MESA,92042,PATRICK ZIEMER,CEO,ALVARADOPARKWAYINSTITUTE.COM,HELIX HEALTHCARE,JOHN R. SMITH,PACIFIC HOSPITAL MANAGEMENT,0,05-4075,HSP34075G,HSP34075G,66,66,66,"15,616",321,565,0,0,"3,847","1,205",0,225,"21,779","1,626",33,36,0,0,425,126,0,23,"2,269",0,66,0,0,0,0,0,"21,779",0,0,0,0,0,"2,269",0,0,0,0,90.40,90.40,9.60,9.60,0,0,0,"65,073",349,0,0,0,"1,783","4,819",0,280,"72,304",0,0,0,0,0,0,0,0,0,0,0,0,"54,993,376","31,080,021",0,"23,913,355","165,762","22,799,054","1,280,063","29,943","294,911",0,0,"1,015,095","26,042,175","25,934,939","3,016,262","20,938,274","415,666","759,953",0,0,"4,227,775","2,079,954",0,"466,902","28,888,524","24,057,553","103,484",0,0,0,"613,049","1,255,021",0,"75,745","26,104,852","25,318,224","266,399","483,307",0,0,0,"1,816,058","1,886,490","1,113,750",0,"195,793",0,0,0,0,0,0,"19,677,603","252,751","276,646",0,0,"2,517,761","900,252",0,"288,342",0,0,0,0,0,0,"5,538,380","4,286,012","829,697",0,0,0,0,"4,852,506","1,446,103","3,984,191","1,862,165","12,704,527","2,449,321","762,844",0,"1,580,397","1,738,623","99,673","2,028,595","169,000","89,153","1,176,921","3,820,819",0,"504,339",0,0,"977,709","5,302,867","1,864,040",0,0,"3,438,827","5,302,867","1,111,180","4,676,389","(2,345,204)","86,609","274,821","621,967","117,628",0,0,0,0,0,0,"389,988",270,103,"558,882","2,320","561,202",82,0,"43,760","158,148","53,083","36,404","123,869","67,088","76,530",0,0,0,"207,887","119,712",0,0,"128,649","40,724","61,910",0,"208,678","120,231",0,0,"129,065","40,928","62,300",0
106194010,AMERICAN RECOVERY CENTER,7/1/2009,6/30/2010,365,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,917,Non-Profit,Specialty,Comparable,,(909) 865-2336,2180 WEST VALLEY BLVD,POMONA,91768,BOOKER BLEDSOE,ADMINISTRATOR,WWW.BHS-INC.ORG/ARC.HTML,"BEHAVIORAL HEALTH SERVICES, INC",ANDREW E. WORRELL,"BEHAVIORAL HEALTH SERVICES, INC.",0,,,,156,156,156,0,0,0,0,"27,004",0,0,0,"5,172","32,176",0,0,0,0,"1,590",0,0,0,110,"1,700",0,0,156,0,0,0,0,0,"32,176",0,0,0,0,0,"1,700",0,0,0,56.50,56.50,18.90,18.90,0,0,0,0,0,0,0,"2,644",0,0,0,625,"3,269",0,0,0,0,0,0,0,0,0,0,0,0,"5,392,074","83,821",0,"5,308,253","11,115","5,264,101","55,267",0,0,0,0,"55,267","5,244,231","147,843",0,0,0,0,0,"4,412,080",0,0,0,"832,151","5,244,231",0,0,0,0,"138,413",0,0,0,"9,430","147,843",0,0,0,0,0,"83,821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,466,672",0,0,0,"841,581",0,0,0,0,0,0,"2,018,291","142,717",0,0,0,0,0,"1,120,279","304,714","1,081,398","596,702","2,125,055","781,727",0,"308,425","384,753","895,293","157,815","47,284","36,403","271,266","256,080","3,725,881",0,"2,453,938",0,"59,101",0,"6,238,920","4,581,223",0,0,"1,657,697","6,238,920","1,078,450","568,297",0,"2,741,153","335,199","4,163,095","1,709,157",0,0,0,0,0,"1,896,553",0,64,12,"115,190","17,295","132,485",0,0,"13,636","7,427","6,540","18,283",0,"16,951","14,534","37,819",0,0,"66,961","3,943",0,0,"23,089","12,552","8,645",0,"76,295","4,504",0,0,"26,853","14,601","10,232",0
106301097,ANAHEIM GENERAL HOSPITAL,9/1/2009,8/31/2010,365,Audited,Excl. Ind. Audit Adj.,Orange,13,1012,Investor,General,Comparable,,(714) 827-8700,3350 WEST BALL ROAD,ANAHEIM,92804,TOM SALERNO,CEO,,PACIFIC HEALTH CORPORATION,THOMAS BUTLER,PACIFIC HEALTH CORPORATION,0,05-0173,HSC30173H,HSP30173H,143,143,143,"1,202",11,566,"9,049",28,73,19,10,74,"11,032",33,3,2,377,2,4,9,1,12,443,101,21,0,0,21,0,"1,628",0,0,0,"9,404",0,418,0,0,0,25,0,21.10,21.10,24.90,3.90,14,0,0,"1,062",78,418,"3,938",272,"1,059",824,457,"2,767","10,875","6,960",1,0,"4,349",0,3,"58,919","28,584",157,44,0,0,"75,122,521","65,200,964","984,666","10,906,223","49,877","25,551,030","(14,594,930)",0,0,0,0,"(14,594,930)","13,989,274","5,437,601","55,695,646","15,786,431","360,946","433,515","42,990,628","328,932","1,066,912","578,722","336,936","2,528,125","64,411,147","1,647,636","101,353","73,927","3,625,252","439,022","993,407","852,557","427,004","2,551,216","10,711,374","15,452,296","381,725","55,832","40,549,904","(204,541)","767,633","1,749,132","1,148,837","170,019",0,"774,247",0,"4,355,880",0,"984,666",0,0,"1,981,771","80,574","645,844","7,050,642",321,"311,187","282,442",0,"553,442",0,0,0,0,0,0,"6,612,705","1,658,792","6,360,782",0,0,0,0,"3,781,022","790,539","3,335,003","3,012,187","12,657,205","3,237,162","96,256","327,208","2,221,061","1,582,877","288,379","1,484,551","309,495","766,146","2,580,690","9,146,725",0,"1,724,076","2,883,381",0,0,"13,754,182","80,780,898",0,0,"(67,026,716)","13,754,182",0,"32,601,275","(30,439,828)","8,405,919","14,450,149","23,265,924","21,541,848",0,0,0,0,0,0,"60,289,050",233,79,"431,681","53,273","484,954",270,0,"41,986","92,861","78,271","35,928","49,672","65,484","31,527","35,160",792,0,"147,273","26,185","92,457",0,"84,931","32,590","48,245",0,"169,730","29,467","102,903",0,"94,588","35,599","52,667",0
