FAC_NO,FAC_NAME,BEG_DATE,END_DATE,DAY_PER,DATA_IND,AUDIT_IND,COUNTY,HSA,HFPA,TYPE_CNTRL,TYPE_CARE,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,CEO_TITLE,WEB_SITE,OWNER,RPT_PREP,ORG_NAME,ER_DESIG,MCAR_PRO#,MCAL_PRO#,REG_MCAL#,BED_LIC,BED_AVL,BED_STF,DAY_ MCAR_TR,DAY_MCAR_MC,DAY_MCAL_TR,DAY_ MCAL_ MC,DAY_CNTY,DAY_THRD_TR,DAY_THRD_MC,DAY_OTH_ IND,DAY_OTH,DAY_TOT,DIS_MCAR_TR,DIS_MCAR_MC,DIS_MCAL_TR,DIS_MCAL_MC,DIS_CNTY,DIS_THRD_TR,DIS_THRD_MC,DIS_OTH_IND,DIS_OTH,DIS_TOT,BED_ACUTE,BED_PSYCH,BED_CHEM,BED_REHAB,BED_LTC,BED_RESDNT,DAY_ACUTE,DAY_PSYCH,DAY_CHEM,DAY_REHAB,DAY_LTC,DAY_RESDNT,DIS_ACUTE,DIS_PSYCH,DIS_CHEM,DIS_REHAB,DIS_LTC,DIS_RESDNT,OCC_LIC,OCC_AVL,ALOS_ALL,ALOS_EXLTC,BAS_NURSRY,DAY_NURSRY,DIS_NURSRY,VIS_MCAR_TR,VIS_MCAR_MC,VIS_MCAL_TR,VIS_MCAL_MC,VIS_CNTY,VIS_THRD_TR,VIS_THRD_MC,VIS_OTH_IND,VIS_OTH,VIS_TOT,VIS_ER,VIS_CLIN,VIS_HOME,VIS_REF_OP,DAYS_PIPS,OP_ROOM,OP_MIN_IP,OP_MIN_OP,SURG_IP,SURG_OP,NAT_BIRTHS,C_SECTIONS,GR_PT_REV,DED_FR_REV,TOT_CAP_REV,NET_PT_REV,OTH_OP_REV,TOT_OP_EXP,NET_FRM_OP,NONOP_REV,NONOP_EXP,INC_TAX,EXT_ITEM,NET_INCOME,GR_REV_DLY,GR_REV_AMB,GR_REV_ANC,GR_IP_MCAR_TR,GR_IP_MCAR_MC,GR_IP_MCAL_TR,GR_IP_MCAL_MC,GR_IP_CNTY,GR_IP_THRD_TR,GR_IP_THRD_MC,GR_IP_OTH_IND,GR_IP_OTH,GR_IP_TOT,GR_OP_MCAR_TR,GR_OP_MCAR_MC,GR_OP_MCAL_TR,GR_OP_MCAL_MC,GR_OP_CNTY,GR_OP_THRD_TR,GR_OP_THRD_MC,GR_ OP_ OTH_IND,GR_OP_OTH,GR_OP_TOT,C_ADJ_MCAR_TR,C_ADJ_MCAR_MC,C_ADJ_MCAL_TR,C_ADJ_MCAL_MC,DISP_855,C_ADJ_CNTY,C_ ADJ_THRD_TR,C_ADJ_THRD_MC,BAD_DEBT,CHAR_HB,CHAR_OTH,SUB_INDGNT,DED_OTH,CAP_REV_MCAR,CAP_REV_MCAL,CAP_REV_CNTY,CAP_REV_THRD,NETRV_MCAR_TR,NETRV_MCAR_MC,NETRV_MCAL_TR,NETRV_MCAL_MC,NETRV_CNTY,NETRV_THRD_TR,NETRV_THRD_MC,NETRV_OTH_IND,NETRV_OTH,DISP_TRNFR,INTER_TFR,CONTRIBTNS,INC_INVEST,DIST_REV,CNTY_APPRO,EXP_DLY,EXP_AMB,EXP_ANC,EXP_PIP,EXP_POP,EXP_RES,EXP_ED,EXP_GEN,EXP_FISC,EXP_ADM,EXP_UNASSG,EXP_SAL,EXP_BEN,EXP_PHYS,EXP_OTHPRO,EXP_SUPP,EXP_PURCH,EXP_DEPRE,EXP_LEASES,EXP_INSUR,EXP_INTRST,EXP_OTH,CUR_ASST,ASST_LIMTD,NET_PPE,CONST_PROG,INV_OTH,INTAN_ASST,TOT_ASST,CURR_LIAB,DEF_CRED,NET_LTDEBT,EQUITY,LIAB_EQ,CASH,ACCTS_REC,ALLOW_UNCOLL,BLDGS,EQUIPMENT,TOT_PPE,ACC_DEPRE,MORT_PAY,CAP_LEASE,BOND_PAY,TOT_LTDEBT,CUR_MAT,INTER_REC,INTER_PAY,HOSP_FTE,NURS_FTE,PROD_HRS,NON_PRD_HR,PAID_HRS,MED_STAFF,STDNT_FTE,PRD_HR_MGT,PRD_HR_TCH,PRD_HR_RN,PRD_HR_LVN,PRD_HR_AID,PRD_HR_CLR,PRD_HR_ENV,PRD_HR_OTH,CNT_HR_RN,CNT_HR_OTH,PRD_HR_DLY,PRD_HR_AMB,PRD_HR_ANC,PRD_HR_ED,PRD_HR_GEN,PRD_HR_FIS,PRD_HR_ADM,PRD_HR_NON,PD_HR_DLY,PD_HR_AMB,PD_HR_ANC,PD_HR_ED,PD_HR_GEN,PD_HR_FIS,PD_HR_ADM,PD_HR_NON
106431013,AGNEWS STATE HOSPITAL,7/1/2008,6/30/2009,365,Audited,Incl. Ind. Audit Adj.,Santa Clara,7,431,State,Psychiatric,State,,(408) 451-6000,3500 ZANKER ROAD,SAN JOSE,95134-2299,ANGELA C. VERBANAC-LIBBY,ADMINISTRATOR,,STATE OF CALIFORNIA,GALE NAGATO,DDS FISCAL SYSTEMS SECTION,0,,,,919,919,304,124,0,"21,972",0,0,120,0,0,"1,025","23,241",0,0,121,0,0,0,0,0,4,125,24,0,0,0,895,0,149,0,0,0,"23,092",0,1,0,0,0,124,0,6.90 ,6.90 ,185.90 ,149.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"46,591,128","2,418,315",0,"44,172,813",0,"46,591,128","(2,418,315)","2,418,315",0,0,0,0,"37,507,991",0,"9,083,137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,"370,837",0,0,0,0,0,0,0,0,0,"2,047,460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106301098,AHMC ANAHEIM REGIONAL MEDICAL CENTER,7/1/2008,6/30/2009,365,Audited,Incl. Ind. Audit Adj.,Orange,13,1012,Investor,General,Comparable,,(714) 774-1450,111 WEST LA PALMA AVENUE,ANAHEIM,92801-2881,BYRON SCHWEIGERT,CEO,,AHMC,DONNA J. ANGLIN,MEMORIAL HEALTH SERVICES,0,05-0226,HSC30226F,ZZT30226F,223,223,154,"15,797","11,912","1,894","5,603","2,031",587,"11,692",227,"3,212","52,955","3,102","2,986",378,"1,311",389,412,"3,460",57,772,"12,867",223,0,0,0,0,0,"52,955",0,0,0,0,0,"12,867",0,0,0,0,0,65.10 ,65.10 ,4.10 ,4.10 ,10,"2,954","1,604","10,717","8,360","4,452","11,405","2,972",746,"27,431",341,"6,962","73,386","43,651","1,216",0,"33,723","5,321",6,"221,214","141,674","2,543","3,343","1,371",370,"832,536,131","669,984,912","13,948,476","176,499,695","554,307","180,254,549","(3,200,547)","2,469,628","410,758",0,0,"(1,141,677)","141,547,651","48,290,411","642,698,069","170,549,111","147,184,216","16,741,268","55,643,490","26,949,534","17,157,835","129,915,690","2,339,467","23,509,586","589,990,197","40,809,023","39,885,407","8,733,742","30,003,719","11,682,216","2,372,371","90,826,617","713,165","17,519,674","242,545,934","165,717,554","166,830,018","22,244,374","72,229,483",0,"36,169,064","15,653,905","152,442,431","27,710,267",0,"4,322,827","(127,313)","6,792,302","13,948,476",0,0,0,"44,942,552","34,188,081","2,385,401","12,014,192","2,462,686","3,876,301","68,299,876","90,887","8,239,719",0,"(10,309,222)","248,953","125,027",0,0,"39,231,267","7,981,725","70,518,249","4,308,268","2,224,618",0,0,"25,687,635","4,394,454","24,057,309","1,851,024","59,968,670","19,203,427","2,063,418","14,246,420","35,902,795","37,100,652","6,374,187","2,613,504","(1,014,247)",0,"3,795,723","105,326,052",0,"30,824,672",0,"2,624",0,"136,153,348","115,201,559","19,122,417",0,"1,829,372","136,153,348","50,511","153,588,137","(127,902,650)","78,250,748","47,207,771","131,736,012","100,911,340",0,0,0,0,0,"72,295,580","34,506,721",942,372,"2,021,852","171,602","2,193,454",211,0,"101,403","265,323","566,678","10,859","30,443","444,671",0,"368,446","165,943","68,086","748,722","131,023","648,800",0,"160,406","130,432","202,469",0,"808,700","139,249","709,618",0,"175,839","141,679","218,369",0
106010846,ALAMEDA COUNTY MEDICAL CENTER,7/1/2008,6/30/2009,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,City/County,General,Comparable,Teaching,(510) 437-4800,1411 EAST 31ST STREET,OAKLAND,94602,"WRIGHT LASSITER, III",CEO,ACMEDCTR.ORG,COUNTY OF ALAMEDA,STANLEY QUAN,"TOYON ASSOCIATES, INC.",2,05-0320,HSC00320W,ZZR00320W,475,475,325,"13,902",569,"71,725","6,242","9,921","3,672",0,"5,310","4,342","115,683","2,077",87,"6,363","1,269","2,021",513,0,671,618,"13,619",236,80,0,50,109,0,"41,918","23,867",0,"10,877","39,021",0,"9,876","3,105",0,489,149,0,66.70 ,66.70 ,8.50 ,5.70 ,20,"2,274","1,026","42,045","1,562","124,309","33,167","124,968","17,697",0,"8,457","39,806","392,011","93,313","152,330",0,"161,755",405,7,"253,251","166,783","2,322","1,917","1,153",294,"858,156,875","445,083,864",0,"413,073,011","99,188,990","459,963,206","52,298,795","6,863,055","237,236",0,0,"58,924,614","362,513,632","162,157,682","333,485,561","79,614,719","5,551,698","287,625,697","42,117,564","81,536,176","31,524,118",0,"26,509,282","22,048,007","576,527,261","34,108,838","1,223,488","80,045,082","21,765,841","91,369,911","14,873,321",0,"6,564,972","31,678,161","281,629,614","63,103,450","4,446,810","267,785,591","49,885,797","(141,003,386)","107,543,687","7,302,883",0,"34,088,141",0,"33,074,254",0,"18,856,637",0,0,0,0,"50,298,694","2,328,376","240,888,574","13,997,608","65,362,400","39,094,556",0,0,"1,102,803","41,905,860","(3,825,143)",0,"1,135,849",0,"5,653,883","101,971,843","60,598,460","89,476,854","4,232,462",0,0,"29,153,823","77,888,054","20,590,278","63,379,729","12,671,703","180,363,579","110,791,687","45,008,440","17,007,253","41,236,122","34,472,509","11,225,155","2,456,741","3,665,516","4,916,866","8,819,338","148,712,859",0,"34,197,854","4,883,144",0,0,"187,793,857","278,120,059",0,"6,480,676","(96,806,878)","187,793,857","25,612,179","216,261,771","(175,334,505)","36,041,002","61,794,587","101,558,331","67,360,477","7,261,018",0,0,"7,261,018","780,342","9,626,310","153,459,609","2,352",815,"4,489,830","750,478","5,240,308",513,131,"306,179","949,532","991,421","126,386","289,841","718,014","383,844","376,373","287,898","60,342","1,228,755","801,345","612,747","299,641","779,669","321,293","446,380",0,"1,432,023","932,436","720,751","321,832","919,808","381,728","531,730",0
106010735,ALAMEDA HOSPITAL,7/1/2008,6/30/2009,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,District,General,Comparable,,(510) 522-3700,2070 CLINTON AVENUE,ALAMEDA,94501-4397,DEBORAH E. STEBBINS,CEO,ALAMEDAHOSPITAL.ORG,CITY OF ALAMEDA HEALTHCARE DISTRICT,CARLOS JIMENEZ,PACIFIC HOSPITAL MANAGEMENT,0,05-0211,HSC00211F,ZZR00211F,161,161,161,"9,702","1,579","12,018",332,0,391,"3,633",171,"2,636","30,462","1,590",236,306,81,0,64,417,13,250,"2,957",100,0,0,0,61,0,"11,786",0,0,0,"18,676",0,"2,811",0,0,0,146,0,51.80 ,51.80 ,10.30 ,4.20 ,0,0,0,"10,158","1,597","2,280","3,092",0,"3,458","24,933",264,"2,590","48,372","17,337",525,0,"29,948",0,1,"115,690","255,860",690,"5,195",0,0,"282,813,469","219,753,983",0,"63,059,486","192,252","68,807,234","(5,555,496)","6,285,803",0,0,0,"730,307","79,641,742","27,450,300","175,721,427","67,100,106","9,944,965","33,134,522","3,515,073",0,"3,919,347","34,046,584","683,465","6,676,877","159,020,939","23,642,274","3,561,348","4,627,122","5,856,624",0,"5,696,457","75,279,000","476,327","4,653,378","123,792,530","69,264,197","10,309,890","27,458,108","6,809,544",0,0,"7,256,589","87,529,236","7,647,176",0,"1,159,796",0,"2,319,447",0,0,0,0,"21,478,183","3,196,423","10,303,536","2,562,153",0,"2,359,215","21,796,348",(4),"1,363,632",0,0,0,"48,085","5,764,021",0,"17,751,667","4,593,072","23,618,361",0,0,0,0,"10,245,179","2,971,165","8,484,667","1,143,123","35,025,780","10,150,833","2,157,488","3,950,848","8,173,156","4,143,430","1,428,205","665,277","394,843","152,822","2,564,552","20,683,029","468,209","6,704,167","533,294",0,0,"28,388,699","17,993,828",0,"1,722,417","8,672,454","28,388,699","2,034,709","45,456,036","(35,386,500)","23,657,283","18,449,576","43,483,813","36,779,646",0,"2,170,365",0,"2,170,365","447,948",0,0,440,159,"780,965","173,462","954,427",267,0,"63,558","163,706","180,034","22,323","97,205","134,039","80,229",0,"31,481","8,390","260,972","46,532","196,650",0,"145,124","53,108","78,579",0,"311,677","60,349","251,334",0,"170,582","61,757","98,728",0
106190017,ALHAMBRA HOSPITAL,7/1/2008,6/30/2009,365,Audited,Incl. Ind. Audit Adj.,Los Angeles,11,913,Investor,General,Comparable,,(626) 570-1606,100 SOUTH RAYMOND AVENUE,ALHAMBRA,91802,IRIS LAI,CEO,ALHAMBRAHOSPITAL.COM,ALHAMBRA HOSPITAL MEDICAL CENTER LP,LINDA MARSH,AHMC INC.,0,05-0281,HSC30281F,,144,144,144,"16,397","1,768","9,716",594,0,100,"1,666",922,349,"31,512","2,206",449,635,204,0,11,371,52,105,"4,033",101,0,0,17,26,0,"18,932",0,0,"3,380","9,200",0,"3,814",0,0,194,25,0,60.00 ,60.00 ,7.80 ,5.60 ,0,0,0,"4,525","1,497","1,597","2,250",0,808,"3,216",774,"2,918","17,585","17,329",0,0,"5,048",0,5,"51,098","99,853",419,"1,563",0,0,"240,591,569","185,422,017","4,640,449","59,810,001","1,142,186","58,709,590","2,242,597","159,283",0,0,0,"2,401,880","66,665,107","9,989,869","163,936,593","104,462,868","14,220,288","49,201,189","4,466,476",0,"1,025,318","12,379,725","1,941,842","1,580,320","189,278,026","19,765,493","4,858,781","6,693,619","4,252,131",0,"1,589,813","9,614,276","701,083","3,838,347","51,313,543","90,377,526","15,940,426","45,740,203","7,353,750","(1,352,769)",0,"151,370","15,110,339","4,809,891",0,"2,642,925",0,"4,648,356","4,640,449",0,0,0,"30,046,475","7,204,412","10,844,448","1,270,412",0,"2,435,432","6,645,410",0,"1,363,412",0,"3,786,309",0,"58,075",0,"73,480","16,679,804","2,460,507","18,085,876",0,0,0,0,"8,297,340","2,345,008","6,750,917","4,090,138","24,136,509","8,491,414","833,000","3,333,468","7,816,580","7,908,298",0,"3,516,446","418,864",0,"2,255,011","18,528,470",0,0,0,"18,293,041","725,032","37,546,543","15,839,086",0,0,"21,707,457","37,546,543","5,111,022","49,216,738","(39,996,186)",0,0,0,0,0,0,0,0,0,0,0,449,201,"868,170","85,291","953,461",194,0,"58,243","167,020","233,018","59,951","106,417","188,444","35,976",0,"19,101",0,"394,936","35,124","162,935",0,"127,591","74,862","72,722",0,"431,456","36,834","178,224",0,"138,938","81,600","86,409",0
106010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,1/1/2009,12/31/2009,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,415,Non-Profit,General,Comparable,,(510) 204-4444,2450 ASHBY AVENUE,BERKELEY,94705,ROBERT PETRINA,CFO,ALTABATESSUMMIT.ORG,SUTTER HEALTH,BHARATHA NAOTUNNE,ALTA BATES SUMMIT MEDICAL CENTER,0,05-0305,HSC00305F,ZZR00305F,527,510,384,"29,645","8,187","41,018","9,349",0,642,"36,819",962,"2,185","128,807","4,805","1,377","5,297","2,650",0,126,"7,419",194,589,"22,457",347,105,0,42,33,0,"87,791","20,228",0,"11,530","9,258",0,"18,888","2,771",0,759,39,0,67.00 ,69.20 ,5.70 ,5.30 ,35,"14,856","6,804","70,213","15,406","15,590","10,115",0,"6,249","214,224","1,951","10,179","343,927","43,793","31,564",0,"112,510",0,13,"415,740","305,760","3,416","4,287","5,625","2,112","2,107,269,486","1,531,844,510",0,"575,424,976","8,017,165","525,894,295","57,547,846","13,809,800","4,366,068",0,0,"66,991,578","777,637,934","96,353,211","1,233,278,341","403,780,992","119,936,053","432,908,162","130,875,780",0,"8,442,701","459,310,931","17,678,371","31,786,942","1,604,719,932","135,800,155","38,996,751","38,101,475","27,209,171",0,"6,256,537","233,829,010","3,647,855","18,708,600","502,549,554","424,800,179","127,515,665","393,574,078","136,297,554",0,0,"7,711,547","382,305,955","17,214,265",0,"21,326,225",0,"21,099,042",0,0,0,0,"114,780,968","31,417,139","77,435,559","21,787,397",0,"6,987,691","310,833,986",1,"12,182,235",0,0,"2,417,297","8,509,756",0,0,"129,595,379","20,107,704","210,657,545",0,0,"136,395",0,"66,711,254","7,261,745","69,059,023","22,365,250","193,746,017","97,812,008","17,883,658","11,779,773","50,027,245","113,395,456","18,288,662","1,546,900","5,550,739","4,351,820","11,512,017","134,407,824",0,"111,068,875","61,555,738","20,706,388","1,610,102","329,348,927","52,083,859","5,529,308","101,045,142","170,690,618","329,348,927","21,528,662","323,344,254","(240,890,696)","229,934,932","162,561,915","405,821,055","294,752,180",0,0,"104,815,658","104,815,658","3,770,516","12,947,475",0,"2,150",811,"3,827,166","779,038","4,606,204",740,0,"205,117","902,371","1,322,810","109,242","161,345","566,100","365,945","60,051","94,164","40,021","1,461,261","198,081","1,016,398","5,761","670,770","127,888","347,007",0,"1,819,313","225,384","1,197,113","6,970","782,664","149,704","425,056",0
106010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,1/1/2009,12/31/2009,365,Audited,Incl. Ind. Audit Adj.,Alameda,5,417,Non-Profit,General,Comparable,,(510) 655-4000,HAWTHORNE AVE & WEBSTER ST,OAKLAND,94609,WARREN KIRK,CEO,ALTABATESSUMMIT.ORG,SUTTER HEALTH,DANIEL FOUSHEE,"TOYON ASSOCIATES, INC.",0,05-0043,HSC00043F,,402,402,235,"34,912","10,038","12,527","2,797",0,"1,168","16,254","2,009",332,"80,037","6,455","1,839","2,477",586,0,219,"3,071",426,57,"15,130",354,0,0,0,48,0,"70,973",0,0,0,"9,064",0,"14,299",0,0,0,831,0,54.50 ,54.50 ,5.30 ,5.00 ,0,0,0,"31,260","8,183","15,241","11,016",0,"4,330","38,536","2,593","6,742","117,901","39,783","8,827",0,"70,898",0,38,"821,105","479,938","4,349","5,507",0,0,"1,943,041,693","1,541,059,750",0,"401,981,943","55,092,236","426,244,540","30,829,639","10,128,418","4,486,005",0,0,"36,472,052","502,372,947","106,383,844","1,334,284,902","548,145,713","153,612,777","192,583,134","50,142,682",0,"24,197,542","453,590,170","32,473,907","5,722,833","1,460,468,758","140,200,035","38,535,925","49,281,659","36,681,935",0,"18,260,603","176,971,551","7,523,582","15,117,645","482,572,935","560,008,961","159,770,163","207,811,979","74,600,339",0,0,"30,629,659","454,892,500","7,442,831",0,"37,011,229",0,"8,892,089",0,0,0,0,"128,336,787","32,378,539","34,052,814","12,224,278",0,"11,828,486","175,669,221","2,986,260","4,505,558",0,"(13,992,999)","3,589,200","1,942,707",0,0,"96,331,681","24,719,098","139,708,892",0,0,0,"44,249,240","53,666,921","10,253,912","38,610,250","18,704,546","151,520,292","89,097,264","9,329,803","18,194,632","73,089,063","38,261,694","19,844,020","3,240,722","3,140,537","4,293,077","16,233,436","136,638,422",0,"131,979,370","438,886","18,493,440",0,"287,550,118","85,940,112",0,"70,298,589","131,311,417","287,550,118","39,582,000","312,845,533","(246,184,270)","343,999,117","122,939,435","488,755,193","356,775,823",0,0,"72,070,614","72,070,614","1,772,025",0,"234,613","1,832",634,"3,462,421","570,375","4,032,796",527,0,"221,276","659,469","931,276","26,788","230,554","702,592","385,821","81,624","129,075","93,946","1,049,595","250,936","782,211","353,193","570,964","168,209","250,933","36,380","1,246,832","286,277","917,479","388,832","664,055","195,691","292,663","40,967"
106370652,ALVARADO HOSPITAL,1/1/2009,12/31/2009,365,Audited,Incl. Ind. Audit Adj.,San Diego,14,1418,Investor,General,Comparable,,(619) 287-3270,6655 ALVARADO ROAD,SAN DIEGO,92120,HARRIS F. KOENIG,CEO,ALVARADOHOSPITAL.COM,"PLYMOUTH HEALTH, LLC",BRIAN D. KLEVEN,"ALVARADO HOSPITAL, LLC",0,05-0757,HSC30583I,HSP30583I,306,306,123,"18,339","2,203","5,916",622,278,0,"13,378",31,"3,497","44,264","3,939",581,"1,166",201,85,0,"2,518",28,796,"9,314",256,0,0,50,0,0,"39,358",0,0,"4,906",0,0,"8,935",0,0,379,0,0,39.60 ,39.60 ,4.80 ,4.80 ,0,0,0,"18,162","1,510","4,531","2,805",765,0,"11,519",14,"10,396","49,702","26,307","2,258",0,"23,120",0,13,"719,495","528,614","2,676","2,897",0,0,"762,925,516","604,263,970","557,867","159,219,413","2,717,839","162,505,892","(568,640)","42,327",0,0,0,"(526,313)","110,723,649","42,671,529","609,530,338","273,920,729","35,487,233","74,641,752","8,561,333","14,315,563",0,"146,291,049","1,266,322","33,256,040","587,740,021","58,727,236","7,008,734","10,535,665","6,329,546","3,230,772",0,"50,472,430","30,177","38,850,935","175,185,495","274,657,049","35,282,826","75,923,176","13,504,657",0,"14,838,590",0,"124,202,569","17,231,605",0,"1,296,499",0,"47,326,999","418,821",0,0,"139,046","57,990,916","7,631,962","9,254,241","1,386,222","2,707,745",0,"72,699,956",0,"7,548,371",0,0,0,"42,327",0,0,"29,688,118","9,017,802","62,013,518",0,0,"362,041",0,"18,725,664","4,198,222","22,759,480","15,741,047","58,690,427","17,979,230","1,599,841","14,222,881","37,034,785","8,591,051","1,574,944","16,034,089","1,596,738","10,162","5,171,744","31,763,576",0,"6,877,941","288,309","1,181,142","3,059,863","43,170,831","21,404,035","753,749","22,622,707","(1,609,660)","43,170,831","66,395","63,749,753","(38,433,746)","528,649","8,576,062","9,380,588","2,502,647",0,0,0,"22,622,707",0,0,"22,622,707",840,367,"1,623,622","211,700","1,835,322",315,0,"113,485","476,078","560,120","6,476","109,374","227,796",0,"41,192","86,480","2,621","556,524","118,757","498,585",0,"172,121","102,957","174,678",0,"637,555","128,237","563,326",0,"191,183","113,678","201,343",0
106370749,ALVARADO PARKWAY INSTITUTE BHS,1/1/2009,12/31/2009,365,Audited,Excl. Ind. Audit Adj.,San Diego,14,1422,Investor,Psychiatric,Comparable,,(619) 465-4411,7050 PARKWAY DRIVE,LA MESA,91942,PATRICK ZIEMER,CEO,ALVARADOPARKWAYINSTITUTE.COM,HELIX HEALTHCARE,JOHN RANDOLPH SMITH,PACIFIC HOSPITAL MANAGEMENT,0,05-4075,,HSP34075G,66,66,66,"13,773",303,154,0,0,"1,544","1,873",0,"3,438","21,085","1,462",32,17,0,0,163,198,0,367,"2,239",0,66,0,0,0,0,0,"21,085",0,0,0,0,0,"2,239",0,0,0,0,87.50 ,87.50 ,9.40 ,9.40 ,0,0,0,"64,405",362,0,0,0,"1,746","6,164",0,272,"72,949",0,0,0,0,0,0,0,0,0,0,0,0,"50,129,171","26,316,814",0,"23,812,357","155,443","22,728,753","1,239,047","71,097","283,967",0,0,"1,026,177","23,028,584","23,749,533","3,351,054","17,297,482","384,253","188,179",0,0,"1,849,078","2,250,072",0,"4,146,014","26,115,078","21,680,910","114,376",0,0,0,"547,128","1,595,730",0,"75,949","24,014,093","21,556,730","18,295","133,235",0,0,0,"522,463","2,708,936","1,187,821",0,"189,334",0,0,0,0,0,0,"17,421,662","480,334","54,944",0,0,"1,584,783","361,366",0,"3,909,268",0,0,0,0,0,0,"5,610,727","4,497,574","940,914",0,0,0,0,"4,763,751","1,447,718","3,772,346","1,695,723","12,460,058","2,318,639","780,657","237,969","1,466,187","2,008,539","327,634","1,586,331","168,900","241,321","1,132,518","2,977,438",0,"1,362,645",0,0,"977,709","5,317,792","5,554,818",0,0,"(237,026)","5,317,792","8,301","4,922,383","(2,343,477)","1,658,462","1,043,249","3,168,469","1,805,824",0,0,0,0,0,0,"1,006,501",271,102,"562,335","2,273","564,608",82,0,"31,500","181,925","52,862","35,020","123,434","60,260","77,334",0,0,0,"211,194","132,858",0,0,"127,974","40,121","50,188",0,"212,002","133,415",0,0,"128,375","40,317","50,499",0
106194010,AMERICAN RECOVERY CENTER,7/1/2008,6/30/2009,365,Audited,Excl. Ind. Audit Adj.,Los Angeles,11,917,Non-Profit,Specialty,Comparable,,(909) 865-2336,2180 WEST VALLEY BLVD,POMONA,91768,BOOKER BLEDSOE,ADMINISTRATOR,BHS-INC.ORG/ARC.HTML,"BEHAVIORAL HEALTH SERVICES, INC",ANDREW E. WORRELL,"BEHAVIORAL HEALTH SERVICES, INC.",0,,,,156,156,156,0,0,0,0,"30,798",0,0,0,"6,813","37,611",0,0,0,0,"1,592",0,0,0,95,"1,687",0,0,156,0,0,0,0,0,"37,611",0,0,0,0,0,"1,687",0,0,0,66.10 ,66.10 ,22.30 ,22.30 ,0,0,0,0,0,0,0,"7,497",0,0,0,0,"7,497",0,0,0,0,0,0,0,0,0,0,0,0,"5,874,896","51,602",0,"5,823,294","49,763","5,841,650","31,407",0,0,0,0,"31,407","5,639,251","235,645",0,0,0,0,0,"4,994,778",0,0,0,"644,473","5,639,251",0,0,0,0,"235,645",0,0,0,0,"235,645",0,0,0,0,0,"51,602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,178,821",0,0,0,"644,473",0,0,0,0,0,0,"2,135,304","237,962",0,0,0,0,0,"1,411,958","319,458","1,231,996","504,972","2,403,395","812,855",0,"383,958","518,334","997,107","118,367","41,139","40,205","228,369","297,921","3,875,123",0,"2,533,455",0,"2,076",0,"6,410,654","4,808,224",0,0,"1,602,430","6,410,654","1,521,691","453,548",0,"2,741,153","335,199","4,163,095","1,629,640",0,0,0,0,0,"1,742,041",0,45,11,"80,318","14,898","95,216",0,0,"17,472","3,321","4,433","17,308",0,"8,826","4,096","22,782","2,080",0,"53,549","3,972",0,0,"8,055","8,228","6,514",0,"63,319","4,465",0,0,"9,644","9,916","7,872",0
