ZIPCODEN,ZIPCODEA,ZIPTYPE,RESZIPN,RESZIPA,RUCA30
1,1,1,1,1,10
2,2,1,2,2,10
3,3,1,3,3,10
4,4,1,4,4,10
5,5,1,5,5,10
6,6,1,6,6,10
7,7,1,7,7,10
9,9,1,9,9,10
10,10,1,10,10,10
11,11,1,11,11,8
12,12,1,12,12,5
14,14,1,14,14,7.1
15,15,1,15,15,2
16,16,1,16,16,8.1
17,17,1,17,17,10.1
18,18,1,18,18,3
19,19,1,19,19,10
20,20,1,20,20,10.1
22,22,1,22,22,4
26,26,1,26,26,10.1
27,27,1,27,27,1
28,28,1,28,28,2
29,29,1,29,29,2
31,31,1,31,31,10.2
32,32,1,32,32,10.1
33,33,1,33,33,10.1
34,34,1,34,34,10
35,35,1,35,35,8
37,37,1,37,37,10.2
38,38,1,38,38,5
39,39,1,39,39,10.1
40,40,1,40,40,10.1
41,41,1,41,41,2
42,42,1,42,42,1
43,43,1,43,43,2
44,44,1,44,44,10.1
45,45,1,45,45,2.1
47,47,1,47,47,10.3
48,48,1,48,48,4
49,49,1,49,49,10.2
50,50,1,50,50,10.2
51,51,1,51,51,2
52,52,1,52,52,2
53,53,1,53,53,1
54,54,1,54,54,10.2
55,55,1,55,55,10
56,56,1,56,56,2
57,57,1,57,57,10
58,58,1,58,58,10.3
59,59,1,59,59,8
60,60,1,60,60,10
61,61,1,61,61,10
63,63,1,63,63,2
64,64,1,64,64,10.1
65,65,1,65,65,10.1
66,66,1,66,66,10
67,67,1,67,67,1
68,68,1,68,68,5
69,69,1,69,69,7.1
70,70,1,70,70,10.1
71,71,1,71,71,2
72,72,1,72,72,2
73,73,1,73,73,2
74,74,1,74,74,10.1
76,76,1,76,76,10.1
77,77,1,77,77,3
84,84,1,84,84,2
87,87,1,87,87,2
97,97,1,97,97,10
98,98,1,98,98,2
100,100,1,100,100,1
116,116,1,116,116,2
119,119,1,119,119,4.1
121,121,1,121,121,2
125,125,1,125,125,10
126,126,1,126,126,10
127,127,1,127,127,2
128,128,1,128,128,10.3
130,130,1,130,130,10.3
132,132,1,132,132,10
133,133,1,133,133,10
134,134,1,134,134,10.3
135,135,1,135,135,9
137,137,1,137,137,8
138,138,1,138,138,8
139,139,1,139,139,10
141,141,1,141,141,10
148,148,1,148,148,9
151,151,1,151,151,10.3
152,152,1,152,152,6
158,158,1,158,158,1.1
160,160,1,160,160,10
161,161,1,161,161,9
164,164,1,164,164,10.2
165,165,1,165,165,10
166,166,1,166,166,5
168,168,1,168,168,4
172,172,1,172,172,6
173,173,1,173,173,6
174,174,1,174,174,6
176,176,1,176,176,6
177,177,1,177,177,4
179,179,1,179,179,6
180,180,1,180,180,6
181,181,1,181,181,6
182,182,1,182,182,6
183,183,1,183,183,6
184,184,1,184,184,6
185,185,1,185,185,10.3
188,188,1,188,188,5.1
195,195,1,195,195,10.3
197,197,1,197,197,2
198,198,1,198,198,2
199,199,1,199,199,1
501,501,2,11742,11742,1
544,544,2,11742,11742,1
1001,1001,1,1001,1001,1.1
1002,1002,1,1002,1002,1.1
1003,1003,1,1003,1003,1.1
1004,1004,2,1002,1002,1.1
1005,1005,1,1005,1005,2
1007,1007,1,1007,1007,1.1
1008,1008,1,1008,1008,2
1010,1010,1,1010,1010,2.1
1011,1011,1,1011,1011,2
1012,1012,1,1012,1012,2
1013,1013,1,1013,1013,1.1
1014,1014,2,1020,1020,1.1
1020,1020,1,1020,1020,1.1
1021,1021,2,1020,1020,1.1
1022,1022,1,1022,1022,1.1
1026,1026,1,1026,1026,2
1027,1027,1,1027,1027,1.1
1028,1028,1,1028,1028,1.1
1029,1029,2,1253,1253,10.3
1030,1030,1,1030,1030,1.1
1031,1031,1,1031,1031,3
1032,1032,1,1032,1032,2
1033,1033,1,1033,1033,1.1
1034,1034,1,1034,1034,2
1035,1035,1,1035,1035,1.1
1036,1036,1,1036,1036,1.1
1037,1037,2,1082,1082,2
1038,1038,1,1038,1038,2
1039,1039,1,1039,1039,2
1040,1040,1,1040,1040,1.1
1041,1041,2,1040,1040,1.1
1050,1050,1,1050,1050,2
1053,1053,1,1053,1053,1.1
1054,1054,1,1054,1054,2
1056,1056,1,1056,1056,1.1
1057,1057,1,1057,1057,2
1059,1059,2,1002,1002,1.1
1060,1060,1,1060,1060,1.1
1061,1061,2,1062,1062,1.1
1062,1062,1,1062,1062,1.1
1063,1063,1,1063,1063,1.1
1066,1066,2,1088,1088,2
1068,1068,1,1068,1068,2.1
1069,1069,1,1069,1069,1.1
1070,1070,1,1070,1070,2
1071,1071,1,1071,1071,2
1072,1072,1,1072,1072,2
1073,1073,1,1073,1073,2
1074,1074,2,1005,1005,2
1075,1075,1,1075,1075,1.1
1077,1077,1,1077,1077,1.1
1079,1079,2,1069,1069,1.1
1080,1080,1,1080,1080,1.1
1081,1081,1,1081,1081,2.1
1082,1082,1,1082,1082,2
1083,1083,2,1585,1585,2
1084,1084,1,1084,1084,2
1085,1085,1,1085,1085,1.1
1086,1086,2,1085,1085,1.1
1088,1088,1,1088,1088,2
1089,1089,1,1089,1089,1.1
1090,1090,2,1089,1089,1.1
1092,1092,1,1092,1092,2
1093,1093,2,1039,1039,2
1094,1094,2,1031,1031,3
