"zcta","pop","pop10k","ethwhite","ethblack","ethlatin","ethasian","ethother","medianincome","medianincome1k","incomeunder25k","incomeover100k","capincome","housevalue","housevalue100k","edunohs","eduhs","educollege","empexec","gini","iceinc","iceedu","iceeth","hoodzscore","hoodquint","hooddecile"
90001,54760,5.476,0.849159970781592,8.80021913805698,90.1004382761139,0.0876552227903579,0.264791818845873,36386,36.386,32.2648408931767,7.99813273165798,3.95238465727846,309400,3.094,60.9928106812735,39.0071893187265,4.07394727832934,4.5781592403214,0.4022,-0.242667081615187,-0.569188634029442,-0.0795105916727538,-7.31491575725958,"1","1"
90002,46509,4.6509,0.741791911242985,27.3409447633791,71.4528370852953,0.139757896321142,0.520329398611022,31810,31.81,40.6474175035868,7.87302725968436,3.37159253945481,289300,2.893,49.4276928333476,50.5723071666524,4.27094900486888,3.85086757401793,0.4577,-0.327743902439024,-0.451567438284787,-0.265991528521361,-7.16551374587488,"1","1"
90003,66183,6.6183,1.15588595258601,24.8251061450826,72.9205385068673,0.173760633395283,1.35080005439463,28334,28.334,44.721689059501,5.07708501021609,3.93164509937465,303000,3.03,53.4951168984907,46.5048831015093,4.53980467593963,3.30900684465799,0.4431,-0.396446040492849,-0.489553122225511,-0.236692201924966,-7.57602066067314,"1","1"
90004,63932,6.3932,16.6442470124507,3.0860914721892,50.9150347243947,26.8316336107114,3.89007070011888,37839,37.839,31.4899688689035,15.9287443791076,12.033033552404,844800,8.448,28.598272187722,71.401727812278,30.6789798116364,14.6827879622098,0.5695,-0.155612244897959,0.0208070762391439,0.135581555402615,-0.380835188038775,"3","6"
90005,41178,4.1178,7.10330759143232,5.61950556122201,54.4611200155423,30.9364223614551,2.24391665452426,32955,32.955,36.5198098256735,7.82250396196513,7.15689381933439,653700,6.537,32.2706915400078,67.7293084599922,25.542194167225,11.4138617708485,0.4736,-0.286973058637084,-0.0672849737278273,0.0148380203021031,-2.57355874064949,"2","4"
90006,57912,5.7912,3.61583091587236,3.12025141594143,75.9583506009117,16.5319795551872,1.14656720541511,29594,29.594,40.8571270779257,4.08681725299608,3.73336278787209,516400,5.164,48.2706112682184,51.7293887317816,12.6658690450294,6.38555049039923,0.4158,-0.367703098249296,-0.35604742223189,0.0049557949993093,-5.61310476697318,"1","2"
90007,42265,4.2265,17.6481722465397,10.3915769549272,55.3365668993257,14.7639891162901,3.00958239678221,22049,22.049,54.5019072119223,5.14503681362548,6.28049321387386,445100,4.451,46.3133640552995,53.6866359447005,18.1503979891077,10.4578256240388,0.5426,-0.493568703982968,-0.281629660661919,0.0725659529161245,-5.56304119129301,"1","2"
90008,34429,3.4429,1.69333991693049,74.3733480496093,17.9238432716605,2.2858636614482,5.50698539022336,37798,37.798,36.8723491585716,12.0878369133944,10.7265015734027,543200,5.432,15.9214210710536,84.0785789289464,23.9149457472874,12.6288884370734,0.486,-0.247845122451772,0.0799352467623381,-0.726800081326789,-1.5860800748942,"3","5"
90010,3229,0.3229,16.7853824713534,1.64137503871168,14.5865593062868,62.7748528956333,6.41065345308145,50288,50.288,29.4711824123589,19.845513963161,19.726678550208,567100,5.671,15.9362549800797,84.0637450199203,47.8812024628758,25.0851656859709,0.5987,-0.0962566844919786,0.319449474827961,0.151440074326417,2.19114190344971,"4","7"
90011,101523,10.1523,0.6658589679186,8.44242191424603,89.8161007850438,0.514169203037735,0.881573633560868,30118,30.118,40.6460598436517,4.96450714349897,2.39913738880403,349100,3.491,64.6510771496962,35.3489228503038,3.13386116737249,3.05054027166258,0.4306,-0.356815527001528,-0.615172159823237,-0.0777656294632743,-8.05268179986235,"1","1"
