"providerid","dshquartile","dshquintile","dshdecile","name","year","urban","beds","adc","dsh_pct","dsh_opg","dsh_cpg","mcr_pct","cmi","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Location","lon","lat","safetydsh4","safetydsh","safetydsh10","safetynaph"
50002,4,4,8,"St Rose Hospital",2009,"LURBAN",141,93,61.538,0.39984,0.13271,42.84,1.441,"St Rose Hospital","27200 Calaroga Ave","Hayward","CA",94545,"Alameda",5107826200,"Acute Care Hospitals","Voluntary non-profit - Church","true","27200 CALAROGA AVE
HAYWARD, CA 94545
(37.63313754400008, -122.08974566499995)",-122.089745665,37.6331375440001,TRUE,FALSE,FALSE,FALSE
50002,4,4,8,"St Rose Hospital",2007,"LURBAN",129,86,60.432,0.39071,0.13018,42.3,1.38481,"St Rose Hospital","27200 Calaroga Ave","Hayward","CA",94545,"Alameda",5107826200,"Acute Care Hospitals","Voluntary non-profit - Church","true","27200 CALAROGA AVE
HAYWARD, CA 94545
(37.63313754400008, -122.08974566499995)",-122.089745665,37.6331375440001,TRUE,FALSE,FALSE,FALSE
50002,4,4,8,"St Rose Hospital",2008,"LURBAN",129,86,58.14,0.37181,0.12494,42.3,1.36796,"St Rose Hospital","27200 Calaroga Ave","Hayward","CA",94545,"Alameda",5107826200,"Acute Care Hospitals","Voluntary non-profit - Church","true","27200 CALAROGA AVE
HAYWARD, CA 94545
(37.63313754400008, -122.08974566499995)",-122.089745665,37.6331375440001,TRUE,FALSE,FALSE,FALSE
50002,4,4,8,"St Rose Hospital",2010,"LURBAN",141,94,62.985,0.41177625,0.136035563,40.4080309,1.519898165,"St Rose Hospital","27200 Calaroga Ave","Hayward","CA",94545,"Alameda",5107826200,"Acute Care Hospitals","Voluntary non-profit - Church","true","27200 CALAROGA AVE
HAYWARD, CA 94545
(37.63313754400008, -122.08974566499995)",-122.089745665,37.6331375440001,TRUE,FALSE,FALSE,FALSE
50002,4,4,8,"St Rose Hospital",2011,"LURBAN",141,100,60.469,0.39102,0.13026,41.689,1.52935,"St Rose Hospital","27200 Calaroga Ave","Hayward","CA",94545,"Alameda",5107826200,"Acute Care Hospitals","Voluntary non-profit - Church","true","27200 CALAROGA AVE
HAYWARD, CA 94545
(37.63313754400008, -122.08974566499995)",-122.089745665,37.6331375440001,TRUE,FALSE,FALSE,FALSE
50006,2,3,5,"St Joseph Hospital",2007,"RURAL",186,70,28.473,0.12705,0,55.298,1.60456,"St Joseph Hospital","2700 Dolbeer St","Eureka","CA",95501,"Humboldt",7074458121,"Acute Care Hospitals","Voluntary non-profit - Private","true","2700 DOLBEER ST
EUREKA, CA 95501
(40.78451311400005, -124.14153616899995)",-124.141536169,40.784513114,FALSE,FALSE,FALSE,FALSE
50006,2,3,5,"St Joseph Hospital",2008,"RURAL",186,70,32.692,0.16186,0,55.298,1.63795,"St Joseph Hospital","2700 Dolbeer St","Eureka","CA",95501,"Humboldt",7074458121,"Acute Care Hospitals","Voluntary non-profit - Private","true","2700 DOLBEER ST
EUREKA, CA 95501
(40.78451311400005, -124.14153616899995)",-124.141536169,40.784513114,FALSE,FALSE,FALSE,FALSE
50006,2,3,5,"St Joseph Hospital - Eureka",2011,"RURAL",174,76,30.97,0.14765,0,49.042,1.79329,"St Joseph Hospital","2700 Dolbeer St","Eureka","CA",95501,"Humboldt",7074458121,"Acute Care Hospitals","Voluntary non-profit - Private","true","2700 DOLBEER ST
EUREKA, CA 95501
(40.78451311400005, -124.14153616899995)",-124.141536169,40.784513114,FALSE,FALSE,FALSE,FALSE
50006,2,3,5,"St Joseph Hospital",2009,"RURAL",175,69,33.346,0.16725,0,51.06,1.64627,"St Joseph Hospital","2700 Dolbeer St","Eureka","CA",95501,"Humboldt",7074458121,"Acute Care Hospitals","Voluntary non-profit - Private","true","2700 DOLBEER ST
EUREKA, CA 95501
(40.78451311400005, -124.14153616899995)",-124.141536169,40.784513114,FALSE,FALSE,FALSE,FALSE
50006,2,3,5,"St Joseph Hospital",2010,"RURAL",174,71,33.197,0.16602525,0,49.3248387,1.733386508,"St Joseph Hospital","2700 Dolbeer St","Eureka","CA",95501,"Humboldt",7074458121,"Acute Care Hospitals","Voluntary non-profit - Private","true","2700 DOLBEER ST
EUREKA, CA 95501
(40.78451311400005, -124.14153616899995)",-124.141536169,40.784513114,FALSE,FALSE,FALSE,FALSE
50007,1,1,2,"Peninsula Medical Center",2007,"LURBAN",219,139,9.496,0,0.01942,42.023,1.47753,"Mills-Peninsula Medical Center","1501 Trousdale Drive","Burlingame","CA",94010,"San Mateo",6506965270,"Acute Care Hospitals","Voluntary non-profit - Private","true","1501 TROUSDALE DRIVE
BURLINGAME, CA 94010
(37.59345872000006, -122.38429885599999)",-122.384298856,37.5934587200001,FALSE,FALSE,FALSE,FALSE
50007,1,1,2,"Mills Peninsula Medical Center",2011,"LURBAN",219,142,6.061,0,0.01235,37.834,1.56273,"Mills-Peninsula Medical Center","1501 Trousdale Drive","Burlingame","CA",94010,"San Mateo",6506965270,"Acute Care Hospitals","Voluntary non-profit - Private","true","1501 TROUSDALE DRIVE
BURLINGAME, CA 94010
(37.59345872000006, -122.38429885599999)",-122.384298856,37.5934587200001,FALSE,FALSE,FALSE,FALSE
50007,1,1,2,"Peninsula Medical Center",2008,"LURBAN",219,139,11.875,0,0.02434,42.023,1.50681,"Mills-Peninsula Medical Center","1501 Trousdale Drive","Burlingame","CA",94010,"San Mateo",6506965270,"Acute Care Hospitals","Voluntary non-profit - Private","true","1501 TROUSDALE DRIVE
BURLINGAME, CA 94010
(37.59345872000006, -122.38429885599999)",-122.384298856,37.5934587200001,FALSE,FALSE,FALSE,FALSE
