"providerid","residentnum","residency","residencygu"
50002,0,FALSE,FALSE
50004,0,FALSE,FALSE
50006,0,FALSE,FALSE
50007,0,FALSE,FALSE
50008,3,TRUE,FALSE
50009,0,FALSE,FALSE
50010,0,FALSE,FALSE
50011,0,FALSE,FALSE
50013,1,TRUE,FALSE
50014,0,FALSE,FALSE
50015,0,FALSE,FALSE
50016,0,FALSE,FALSE
50017,0,FALSE,FALSE
50018,0,FALSE,FALSE
50019,0,FALSE,FALSE
5001,0,FALSE,FALSE
50021,0,FALSE,FALSE
50022,0,FALSE,FALSE
50024,0,FALSE,FALSE
50025,247,TRUE,TRUE
50026,0,FALSE,FALSE
50028,0,FALSE,FALSE
50029,0,FALSE,FALSE
50030,0,FALSE,FALSE
50032,0,FALSE,FALSE
50033,77,TRUE,FALSE
50034,0,FALSE,FALSE
50036,0,FALSE,FALSE
50038,99.75,TRUE,TRUE
50039,0,FALSE,FALSE
50040,33,TRUE,TRUE
50041,0,FALSE,FALSE
50042,0,FALSE,FALSE
50043,0,FALSE,FALSE
50045,0,FALSE,FALSE
50046,0,FALSE,FALSE
50047,81,TRUE,FALSE
50049,0,FALSE,FALSE
50051,0,FALSE,FALSE
50052,0,FALSE,FALSE
50053,0,FALSE,FALSE
50054,0,FALSE,FALSE
50055,0,FALSE,FALSE
50056,0,FALSE,FALSE
50057,0,FALSE,FALSE
50058,0,FALSE,FALSE
50060,0,FALSE,FALSE
50061,0,FALSE,FALSE
50063,0,FALSE,FALSE
50065,0,FALSE,FALSE
50066,0,FALSE,FALSE
50067,0,FALSE,FALSE
50068,0,FALSE,FALSE
50069,9.75,TRUE,FALSE
50070,0,FALSE,FALSE
50071,90,TRUE,TRUE
50072,0,FALSE,FALSE
50073,5,TRUE,FALSE
50074,0,FALSE,FALSE
50075,88,TRUE,FALSE
50076,0,FALSE,FALSE
50077,50,TRUE,FALSE
50078,0,FALSE,FALSE
50079,0,FALSE,FALSE
50080,0,FALSE,FALSE
50081,0,FALSE,FALSE
50082,0,FALSE,FALSE
50084,0,FALSE,FALSE
50086,0,FALSE,FALSE
50087,0,FALSE,FALSE
50088,0,FALSE,FALSE
50089,0,FALSE,FALSE
50090,0,FALSE,FALSE
50091,0,FALSE,FALSE
50092,0,FALSE,FALSE
50093,0,FALSE,FALSE
50095,0,FALSE,FALSE
