"","zcta","ru"
"1",90001,"Urban"
"2",90002,"Urban"
"3",90003,"Urban"
"4",90004,"Urban"
"5",90005,"Urban"
"6",90006,"Urban"
"7",90007,"Urban"
"8",90008,"Urban"
"9",90045,"Urban"
"10",90010,"Urban"
"11",90011,"Urban"
"12",90012,"Urban"
"13",90013,"Urban"
"14",90014,"Urban"
"15",90015,"Urban"
"16",90016,"Urban"
"17",90017,"Urban"
"18",90018,"Urban"
"19",90019,"Urban"
"20",90020,"Urban"
"21",90021,"Urban"
"22",90022,"Urban"
"23",90023,"Urban"
"24",90024,"Urban"
"25",90025,"Urban"
"26",90026,"Urban"
"27",90027,"Urban"
"28",90028,"Urban"
"29",90029,"Urban"
"30",90031,"Urban"
"31",90032,"Urban"
"32",90033,"Urban"
"33",90034,"Urban"
"34",90035,"Urban"
"35",90036,"Urban"
"36",90037,"Urban"
"37",90038,"Urban"
"38",90039,"Urban"
"39",90040,"Urban"
"40",90041,"Urban"
"41",90042,"Urban"
"42",90043,"Urban"
"43",90044,"Urban"
"44",90046,"Urban"
"45",90047,"Urban"
"46",90048,"Urban"
"47",90049,"Urban"
"48",90056,"Urban"
"49",90057,"Urban"
"50",90058,"Urban"
"51",90059,"Urban"
"52",90061,"Urban"
"53",90062,"Urban"
"54",90063,"Urban"
"55",90064,"Urban"
"56",90065,"Urban"
"57",90066,"Urban"
"58",90067,"Urban"
"59",90068,"Urban"
"60",90069,"Urban"
"61",90071,"Urban"
"62",90073,"Urban"
"63",90077,"Urban"
"64",90079,"Urban"
"65",90089,"Urban"
"66",90090,"Urban"
"67",90094,"Urban"
"68",90095,"Urban"
"69",90201,NA
"70",90210,"Urban"
"71",90211,"Urban"
"72",90212,"Urban"
"73",90220,"Urban"
"74",90221,"Urban"
"75",90222,"Urban"
"76",90230,"Urban"
"77",90232,"Urban"
"78",90241,"Urban"
"79",90240,"Urban"
"80",90242,"Urban"
"81",90245,"Urban"
"82",90247,"Urban"
"83",90248,"Urban"
"84",90249,"Urban"
"85",90250,"Urban"
"86",90254,"Urban"
"87",90255,"Urban"
"88",90260,"Urban"
"89",90262,"Urban"
"90",90263,"Urban"
"91",90265,"Urban"
"92",90266,"Urban"
"93",90270,"Urban"
"94",90272,"Urban"
"95",90274,"Urban"
"96",90275,"Urban"
"97",90277,"Urban"
"98",90278,"Urban"
"99",90280,"Urban"
"100",90290,"Urban"
"101",90291,"Urban"
"102",90292,"Urban"
"103",90293,"Urban"
"104",90301,"Urban"
"105",90302,"Urban"
"106",90303,"Urban"
"107",90304,"Urban"
"108",90305,"Urban"
"109",90401,"Urban"
"110",90402,"Urban"
"111",90403,"Urban"
"112",90404,"Urban"
"113",90405,"Urban"
"114",90501,"Urban"
"115",90502,"Urban"
"116",90503,"Urban"
"117",90504,"Urban"
"118",90505,"Urban"
"119",90506,"Urban"
"120",90601,"Urban"
"121",90602,"Urban"
"122",90603,"Urban"
"123",90604,"Urban"
"124",90605,"Urban"
"125",90606,"Urban"
"126",90620,"Urban"
"127",90621,"Urban"
"128",90623,"Urban"
"129",90630,"Urban"
"130",90631,"Urban"
"131",92821,"Urban"
"132",90638,"Urban"
"133",90640,"Urban"
"134",90650,"Urban"
"135",90660,"Urban"
"136",90670,"Urban"
"137",90680,"Urban"
"138",90701,"Urban"
"139",90703,"Urban"
"140",90704,"Rural"
"141",90706,"Urban"
"142",90710,"Urban"
"143",90712,"Urban"
"144",90713,"Urban"
"145",90715,"Urban"
"146",90716,"Urban"
"147",90717,"Urban"
"148",90720,"Urban"
"149",90723,"Urban"
"150",90731,"Urban"
"151",90732,"Urban"
"152",90740,"Urban"
"153",90742,"Urban"
"154",90743,NA
"155",90744,"Urban"
"156",90745,"Urban"
"157",90746,"Urban"
"158",90747,"Urban"
"159",90755,"Urban"
"160",90802,"Urban"
"161",90803,"Urban"
"162",90804,"Urban"
"163",90805,"Urban"
"164",90806,"Urban"
"165",90807,"Urban"
"166",90808,"Urban"
"167",90815,NA
"168",90810,"Urban"
"169",90813,"Urban"
"170",90814,"Urban"
"171",90822,"Urban"
"172",90831,"Urban"
"173",91001,"Urban"
"174",91006,"Urban"
"175",91007,"Urban"
"176",91008,"Urban"
"177",91010,"Urban"
"178",91011,"Urban"
"179",91016,"Urban"
"180",91020,"Urban"
"181",91024,"Urban"
"182",91030,"Urban"
"183",91040,"Urban"
"184",91042,"Urban"
"185",91046,"Urban"
"186",91101,"Urban"
"187",91103,"Urban"
"188",91104,"Urban"
"189",91105,"Urban"
"190",91106,"Urban"
"191",91107,"Urban"
"192",91108,"Urban"
"193",91801,"Urban"
"194",91201,"Urban"
"195",91202,"Urban"
"196",91203,"Urban"
"197",91204,"Urban"
"198",91205,"Urban"
"199",91206,"Urban"
"200",91207,"Urban"
"201",91208,"Urban"
"202",91210,"Urban"
"203",91214,"Urban"
"204",91301,"Urban"
"205",91302,"Urban"
"206",91303,"Urban"
"207",91304,"Urban"
"208",91306,"Urban"
"209",91307,"Urban"
"210",91384,"Urban"
"211",91311,"Urban"
"212",91316,"Urban"
"213",91320,"Urban"
"214",91321,"Urban"
"215",91324,"Urban"
"216",91325,"Urban"
"217",91326,"Urban"
"218",91343,"Urban"
"219",91330,"Urban"
"220",91331,"Urban"
"221",91335,"Urban"
"222",91340,"Urban"
"223",91342,"Urban"
"224",91344,"Urban"
"225",91345,"Urban"
"226",91350,"Urban"
"227",91351,"Urban"
"228",91352,"Urban"
"229",91354,"Urban"
"230",91355,"Urban"
"231",91356,"Urban"
"232",91360,"Urban"
"233",91362,"Urban"
"234",91361,"Urban"
"235",91364,"Urban"
"236",91367,"Urban"
"237",91371,"Urban"
"238",91377,"Urban"
"239",91381,"Urban"
"240",91387,"Urban"
"241",91390,"Urban"
"242",91401,"Urban"
"243",91402,"Urban"
"244",91403,"Urban"
"245",91411,"Urban"
"246",91405,"Urban"
"247",91406,"Urban"
"248",91423,"Urban"
"249",91436,"Urban"
"250",91501,"Urban"
"251",91502,"Urban"
"252",91504,"Urban"
"253",91505,"Urban"
"254",91506,"Urban"
"255",91601,"Urban"
"256",91602,"Urban"
"257",91604,"Urban"
"258",91605,"Urban"
"259",91606,"Urban"
"260",91607,"Urban"
"261",91608,"Urban"
"262",91701,"Urban"
"263",91702,"Urban"
"264",91706,"Urban"
"265",91708,"Urban"
"266",91709,"Urban"
"267",91710,"Urban"
"268",91711,"Urban"
"269",91744,"Urban"
"270",91745,"Urban"
"271",91722,"Urban"
"272",91723,"Urban"
"273",91724,"Urban"
"274",91730,"Urban"
"275",91731,"Urban"
"276",91732,"Urban"
"277",91733,"Urban"
"278",91737,"Urban"
"279",91739,"Urban"
"280",91740,"Urban"
"281",91741,"Urban"
"282",91761,"Urban"
"283",91746,"Urban"
"284",91748,"Urban"
"285",91750,"Urban"
"286",91752,"Urban"
"287",91754,"Urban"
"288",91755,"Urban"
"289",91759,"Urban"
"290",91762,"Urban"
"291",91763,"Urban"
"292",91764,"Urban"
"293",91765,"Urban"
"294",91766,"Urban"
"295",91767,"Urban"
"296",91768,"Urban"
"297",91770,"Urban"
"298",91773,"Urban"
"299",91775,"Urban"
"300",91776,"Urban"
"301",91780,"Urban"
"302",91784,"Urban"
"303",91786,"Urban"
"304",91789,"Urban"
"305",91790,"Urban"
