"zcta","lon","lat"
90001,-118.249509,33.974027
90002,-118.246737,33.949099
90003,-118.272783,33.964131
90004,-118.310722,34.076198
90005,-118.306892,34.059163
90006,-118.294177,34.048041
90007,-118.284828,34.028133
90008,-118.346724,34.009552
90045,-118.417488,33.942108
90010,-118.315889,34.062148
90011,-118.258681,34.00709
90012,-118.238728,34.065875
90013,-118.240454,34.045405
90014,-118.251746,34.043146
90015,-118.266299,34.039378
90016,-118.354338,34.028331
90017,-118.26434,34.052913
90018,-118.317183,34.028887
90019,-118.33846,34.049841
90020,-118.30987,34.066379
90021,-118.23787,34.029036
90022,-118.156275,34.023728
90023,-118.199613,34.022502
90024,-118.434999,34.065729
90025,-118.445818,34.04536
90026,-118.262643,34.080017
90027,-118.295647,34.127194
90028,-118.326912,34.099912
90029,-118.294661,34.089848
90031,-118.206617,34.085807
90032,-118.185497,34.078195
90033,-118.211991,34.05038
90034,-118.399613,34.030578
90035,-118.383674,34.051809
90036,-118.350411,34.07041
90037,-118.287487,34.002723
90038,-118.325527,34.088475
90039,-118.260552,34.111525
90040,-118.149953,33.994524
90041,-118.207607,34.137412
90042,-118.192098,34.114708
90043,-118.336358,33.988505
90044,-118.291904,33.952724
90046,-118.362081,34.108455
90047,-118.308428,33.953617
90048,-118.37271,34.072924
90049,-118.491244,34.091829
90056,-118.370361,33.988047
90057,-118.276757,34.061735
90058,-118.2164,34.002844
90059,-118.249883,33.926262
90061,-118.274186,33.92128
90062,-118.308806,34.003638
90063,-118.185914,34.045105
90064,-118.423573,34.037251
90065,-118.225496,34.112272
90066,-118.430656,34.002028
90067,-118.413998,34.057597
90068,-118.330989,34.129772
90069,-118.381697,34.093828
90071,-118.254943,34.052876
90073,-118.45703,34.054533
90077,-118.457081,34.108537
90079,-118.255404,34.040587
90089,-118.286035,34.020221
90090,-118.240989,34.072862
90094,-118.416989,33.975416
90095,-118.443545,34.071312
90201,-118.171368,33.970343
90210,-118.415972,34.10263
90211,-118.382979,34.064958
90212,-118.401966,34.06221
90220,-118.234451,33.88151
90221,-118.205918,33.885624
90222,-118.236773,33.912246
90230,-118.394059,33.998213
90232,-118.391902,34.019323
90241,-118.128628,33.940884
90240,-118.118346,33.955729
90242,-118.140588,33.921793
90245,-118.404267,33.91714
90247,-118.297967,33.890853
90248,-118.284077,33.876482
90249,-118.315697,33.90139
90250,-118.348083,33.914775
90254,-118.399303,33.864259
90255,-118.217141,33.97803
90260,-118.351813,33.88856
90262,-118.200705,33.923533
90263,-118.707992,34.039034
90265,-118.846342,34.066117
90266,-118.402127,33.889151
90270,-118.186597,33.987729
90272,-118.544232,34.08746
90274,-118.372454,33.780065
90275,-118.367459,33.753146
90277,-118.387124,33.830006
90278,-118.370359,33.873214
90280,-118.192761,33.944159
90290,-118.615981,34.107728
90291,-118.465193,33.993396
90292,-118.457852,33.979007
90293,-118.439841,33.947305
90301,-118.358653,33.956526
90302,-118.355252,33.975332
90303,-118.331085,33.939766
90304,-118.358559,33.937887
90305,-118.330548,33.95889
90401,-118.49375,34.013666
90402,-118.504039,34.034666
90403,-118.492101,34.030755
90404,-118.473643,34.026608
90405,-118.46963,34.011167
90501,-118.314022,33.833744
90502,-118.292062,33.833181
90503,-118.353714,33.840399
90504,-118.330794,33.867257
90505,-118.347957,33.807882
90506,-118.329998,33.884696
90601,-118.030271,34.00784
90602,-118.022557,33.972232
90603,-117.992066,33.945318
90604,-118.01208,33.929704
90605,-118.024352,33.950295
90606,-118.066363,33.977272
90620,-118.012225,33.846302
90621,-117.993368,33.874224
90623,-118.039892,33.850504
90630,-118.038307,33.818477
90631,-117.952483,33.942708
92821,-117.887086,33.927561
90638,-118.008961,33.902045
90640,-118.111012,34.015444
90650,-118.08264,33.906956
90660,-118.089299,33.989524
90670,-118.062611,33.933565
90680,-117.994901,33.801178
90701,-118.080612,33.8676
90703,-118.069208,33.868049
90704,-118.441282,33.397729
90706,-118.12725,33.887821
90710,-118.298661,33.799904
90712,-118.147902,33.849034
90713,-118.112601,33.847989
90715,-118.079141,33.841027
90716,-118.072639,33.830457
90717,-118.31717,33.793809
90720,-118.062692,33.795012
90723,-118.166629,33.898883
90731,-118.278869,33.731442
90732,-118.312878,33.74212
90740,-118.075043,33.758405
90742,-118.076906,33.716666
90743,-118.090327,33.726516
90744,-118.261723,33.779284
90745,-118.264112,33.821605
90746,-118.252272,33.859171
90747,-118.251318,33.8629
90755,-118.168135,33.803448
90802,-118.208042,33.745762
90803,-118.130636,33.756289
90804,-118.148365,33.781686
90805,-118.180567,33.864617
90806,-118.188596,33.80564
90807,-118.17482,33.82774
90808,-118.111335,33.823943
90815,-118.116391,33.794348
90810,-118.222416,33.819814
90813,-118.196793,33.782259
90814,-118.143631,33.771616
90822,-118.118648,33.778436
90831,-118.201639,33.768338
91001,-118.137227,34.195275
91006,-118.026704,34.136258
91007,-118.047732,34.128284
91008,-117.968818,34.153159
91010,-117.957627,34.141586
91011,-118.205369,34.222261
91016,-118.000482,34.1528
91020,-118.230652,34.211341
91024,-118.050216,34.168771
91030,-118.156615,34.108957
91040,-118.336078,34.261962
91042,-118.237917,34.32222
91046,-118.241036,34.211452
91101,-118.139456,34.146671
91103,-118.164941,34.169538
91104,-118.123752,34.165383
91105,-118.166649,34.13946
91106,-118.128658,34.139402
91107,-118.085873,34.156397
91108,-118.112911,34.122671
91801,-118.127527,34.090728
91201,-118.289463,34.17051
91202,-118.267539,34.167926
91203,-118.262974,34.153338
91204,-118.260934,34.136194
91205,-118.245839,34.13658
91206,-118.213769,34.160359
91207,-118.262922,34.182378
91208,-118.239524,34.185832
91210,-118.256507,34.144557
91214,-118.249185,34.236302
91301,-118.758541,34.123286
91302,-118.671028,34.12331
91303,-118.600913,34.198292
91304,-118.632656,34.224377
91306,-118.577563,34.209532
91307,-118.6649,34.200833
91384,-118.699048,34.506627
91311,-118.603883,34.294142
91316,-118.515472,34.160236
91320,-118.945118,34.175969
91321,-118.489037,34.36811
91324,-118.55029,34.238208
91325,-118.517588,34.236683
91326,-118.556005,34.281486
91343,-118.482306,34.237912
91330,-118.526076,34.247532
91331,-118.421314,34.255442
91335,-118.540958,34.200175
91340,-118.435078,34.286689
91342,-118.382262,34.326674
91344,-118.507001,34.294615
91345,-118.457241,34.265878
91350,-118.501747,34.440891
91351,-118.448088,34.441427
91352,-118.365856,34.230854
91354,-118.553789,34.465755
91355,-118.634816,34.439741
91356,-118.547553,34.155097
91360,-118.882175,34.212798
91362,-118.818678,34.193329
91361,-118.888909,34.136057
91364,-118.593408,34.153733
91367,-118.615714,34.178068
